question,answer,category,difficulty
"In 2021, this city gave Jane Gilbert the first-in-the-nation title of Chief Heat Officer. Phrases such as “get down from the car” exemplify a newly-emerging English dialect named for this city. Each October, this American city’s Art Week is anchored by Art Basel . Officials in this city rejected a 20-foot-high seawall that would have run past its Brickell financial district and was proposed after  Hurricane Irma. A billboard asking Silicon Valley tech bros to “DM me” was erected by this city’s Republican mayor, Francis Suarez. In 2021, 98 people were killed when a condo collapsed in this city’s suburb of Surfside. For 10 points, name this city located in a county partly named for Francis L. Dade in South Florida.",Miami ,Current Events,5
"In 2022, police seized a weapons cache in this province’s village of Coutts from protestors who had shut down a border crossing. John Vaillant’s 2023 book Fire Weather details how residents of “man camps” in this province reacted to the YMM Fire. This province explored “Wexit” under the leadership of Jason Kenney. Kate Beaton’s memoir Ducks chronicled Maritime migrants who took jobs working in this province’s boomtown of  Fort McMurray. This province sparred with a western neighbor over an expansion to the Trans Mountain Pipeline, a project that services this province’s Athabasca Oil Sands. For 10 points, name this Canadian province whose government often clashes with its more liberal western neighbor, British Columbia.",Alberta,Current Events,5
"A 2024 omnibus reform bill sponsored by this politician that stripped I·N·C·A·A film funding failed to pass while he was in Israel. A month earlier at Davos, this politician declared, “I am here today to tell you that the West is in danger.” In his campaign memoir, this politician described being beaten by his bus driver father and how his only close friend was his sister and campaign manager, Karina. This one-time executive at  Corporación  América often cosplays as General AnCap and accented his campaign speeches by using a chainsaw to symbolize the state agencies he’d cut. In November 2023, this man defeated the Peronist-backed Sergio Massa. For 10 points, name this Libertarian President of Argentina.",Javier Milei ,Current Events,5
"A 2023 New York Times feature revealed that Senator Mike Lee was on a mailing list of this person’s “extended family” of former employees. Joel Anderson traveled to Pin Point, Georgia to interview this person’s mother, Leola, for Slow Burn. Adam Liptak claimed that a question about “1-800-PLUMBING” was exemplary of how remote COVID-19 policies broke this person’s decade-long “silence.” This man’s wife co-founded Groundswell and received 80 thousand dollars from  Leonard Leo of the Federalist Society. Revelations from ProPublica that this RV owner took several vacations funded by billionaire Harlan Crow sparked a statement on ethics by John Roberts. For 10 points, name this conservative Black Supreme Court justice.",Clarence Thomas,Current Events,5
"Description acceptable. NGOs working on this problem launched the “U=U”  campaign that seeks to get an IPR rate of 0.03 by 2030. Zeda Rosenberg founded the non-profit IPM to help alleviate this problem with initiatives such as a dapivirine silicone ring. In 2023, Congress cut funding for a widely-hailed program combating this problem launched by George W. Bush called PEPFAR, whose initiatives included treating 750,000 women with products such as  Truvada. In the 2000s, some NGOs working on this problem were slowed by the Denialist policies of Thabo Mbeki in South Africa. For 10 points, name this ongoing problem addressed through programs such as “abstinence, be faithful, use a condom” and antiretroviral drugs.",AIDS epidemic  ,Current Events,5
"Over 80,000 citizens of this president’s country have uploaded geotagged photos on Diia for property damage claims. Simon Shuster’s 2024 biography The Showman criticizes this politician’s propagandist Telemarathon United News. Article 108 of a 1996 constitution has allowed this politician to stay in power despite his term ending on May 20, 2024. Shortly after this politician called for “timely support” in a joint press conference with  Jens Stoltenberg, Congress passed the REPO Act granting his country assets seized from oligarchs. This former star of Servant of the People was the chief beneficiary of a 95 billion dollar military aid package passed by Speaker Mike Johnson in April 2024. For 10 points, name this president of Ukraine.",Volodymyr Zelensky ,Current Events,5
"The namesake of this group revived the school of Jarudism while leading the Believing Youth. During the National Dialogue Conference of 2013, the Southern Movement and this group were denied federal recognition. In 2019, this group used a Qasef-1 UAV to attack the industrial facility of Abqaiq . With supplies from the Quds Force from the port of Hodeidah , this group assassinated Ali Abdullah  Saleh shortly after taking Sadaa province. A ballistic missile launched by this group was intercepted by an Arrow 2 over the Negev Desert in October 2023; a month later, it seized the Galaxy Leader cargo ship. For 10 points, the Israel-Hamas War has caused attacks in the Red Sea launched by what Zaidi Shia rebel group in Yemen?",Houthis ,Current Events,5
"A member of a political family in this state hosts the podcast Latina to Latina. A businessman in this state named Wael Hana offered a politician from this state a no-show job at his halal meat company. In 2024, a court abolished this state’s notorious “county line” ballot system, hurting the chances of the wife of this state’s governor in a Senate race against  Andy Kim. A politician from this state who rose from mayor of Union City to head of the Senate Foreign Relations Committee had one hundred thousand dollars in gold bars stored at his house when it was raided by the FBI in 2023. A Senate race in this state was contested by the wife of Governor Phil Murphy. For 10 points, name this state home to the scandal-prone Bob Menendez.",New Jersey  ,Current Events,5
"A Stanford startup co-founded by James Monsees helped increase consumption of this drug in the 2010s. Sweden is the only EU country to distribute this drug via a product called snus . A 2024 op-ed by Emily Dreyfuss warning of the dangers of new devices for delivering this drug introduced many New York Times readers to the term “upper decky.” An influencer named freezertarps has proclaimed himself the “Mayor of  Zynbabwe,” a reference to a popular brand of salt-filled pouches that deliver this drug. In 2020, the FDA announced a ban on fruity flavors in cartridges filled with this drug, hurting sales for Juul . For 10 points, name this drug that makes cigarettes addictive.",nicotine ,Current Events,5
"Matt Featherstone helped professionalize taco, a street version of this sport popular in Brazil. A politician who gained fame in this sport was jailed in the Lettergate scandal. Disney+ lost many international subscribers in 2022 after it lost rights to this sport to Viacom18. The Seattle Orcas compete in a new professional league for this sport in the US whose co-owners include the CEO of  Microsoft. A league run by the BCCI has grown global interest in this sport, with the US co-hosting an upcoming World Cup for its streamlined Twenty20 variant. Global viewership for this sport has surged thanks to the Indian Premier League. For 10 points, Imran Khan was once a right-arm fast bowler in what bat-and-ball game?",cricket ,Current Events,5
"EU money destined for small businesses in this industry was at the center of a 2023 corruption case against former Czech PM Andrej Babis . Post-Brexit UK governments have adopted the “public money for public goods” policy towards this industry to replace massive EU CAP subsidies. A deal allowing exports from this industry was ended in July 2023 with missile strikes on the port of  Odesa. In 2019, new emissions standards led Dutch workers in this profession to slowly drive heavy equipment to The Hague. The Séralini affair intensified pressure for EU officials to ban a product in this industry with a modified Bt protein sold by Monsanto. For 10 points, name this industry where the EU mostly bans the use of GMO seeds.",agriculture ,Current Events,5
"Storefront businesses in this industry in the UK proliferated following a 2005 law that limited the number of FOBTs per store. It’s not crime, but in 2021 the Chinese government cracked down on this industry by arresting “junket mogul,” Alvin Chau. A 2018 Supreme Court case involving New Jersey Governor Philip Murphy kickstarted this industry, opening the floodgates for “risk-free” promos. For participating in this industry in 2022,  Calvin Ridley was indefinitely suspended by Roger Goodell. In the UK, this industry is dominated by firms such as Ladbrokes, while in China it’s only legal in Macau. For 10 points, name this industry that now heavily advertises sports broadcasts from firms such as FanDuel.",gambling industry ,Current Events,5
