question,answer,category,difficulty
"This adjective and “democratic” name the parts of a “dual” system that Ola Tunander illustrated with the Swedish “submarine deceptions.” Aaron Good’s work analyzes an entity denoted by this adjective as a form of Walter Bagehot’s  “efficient institution” and builds on Peter Dale Scott, whose work uses this adjective to denote “events” like the JFK assassination. This adjective partly names a “.live”  domain that hosts an open-source map of the Russia–Ukraine war. This adjective names a system that was discovered after a model, a  hitman for the MİT, and a police chief were killed in a 1996 car crash in Susurluk. In English, this adjective denotes a group referred to as “derin devlet”  in Turkey. QAnon followers hope to “disarm” an entity denoted by this adjective that supposedly works against Donald Trump. For 10 points, what adjective denotes secretive structures beneath official politics when paired with “state”?","deep ",Current Events,10
"Description acceptable. After being harassed by members of this movement, the Shepherds of Good Hope soup kitchen received nearly a million dollars in donations. This movement’s misappropriation of the “Every Child Matters” slogan on Orange Shirt Day was condemned by Phyllis Webstad. This movement, like Wexit and some non-French Yellow Vest protests, was organized by Maverick Party leader Tamara Lich. In May 2024, Pat King stood trial for his role in this movement, which was countered with the gay cowboy anthem “Ram Ranch.” This movement prompted the first-ever  invocation of the Emergencies Act, allowing the freezing of its leaders’ bank accounts. This movement began with demonstrations on Parliament Hill in response to its nation’s COVID vaccine border mandates. For 10 points, Justin Trudeau quashed what 2022 series of protest blockades by disgruntled teamsters?","Freedom Convoy protests ",Current Events,10
"In 2005, this country’s legislature passed 58 constitutional amendments, which cut presidential terms to four years and removed non-elected senate positions. In 2015, this country ended the use of its “binomial voting” system, which favored right-wing parties such as the Independent Democratic Union. The influence of the military on this country’s government was formalized via the COSENA security council as part of a constitution that was largely written by Jaime Guzmán . In  2022, fears of “Octoberism” and plastic water bottle bans helped sway a referendum in which this country’s voters rejected becoming an “ecological” and “plurinational” country under a new constitution. This country’s Broad Front is led by its 38-year-old, ethnically Croatian president. For 10 points, name this country whose recent presidents have included Gabriel Boric and Michelle Bachelet.",Chile ,Current Events,10
"In the intentionally cheesy video series “Office Hours,” the head of this agency explains topics in front of a plain gray wall intercut with bizarre stock footage and CGI graphics. A 7–2 opinion authored by Elena Kagan ruled in favor of Raymond Lucia that the Constitution’s Appointments Clause applies to some of this agency’s employees. A later case found that Texas radio host George Jarkesy  had been deprived of his Seventh Amendment right to jury trial by this agency’s powerful  administrative law courts. In April 2024, this agency paused the implementation of its climate disclosure rules for public companies, which had drawn conservative ire. The crypto industry argues it should be regulated by the CFTC, not this agency, which sued Coinbase in 2023 for its “unregistered” services selling crypto. For 10 points, Gary Gensler runs what agency created to regulate capital markets after the Great Depression?",Securities and Exchange Commission ,Current Events,10
"In this multinational region, Delfino plows have been used to dig micro-catchment systems like “half-moons,” contour stone bunds, and zai pits. A group named for this region was formed after committees for the “Salvation of the People” and the “Safeguard of the Homeland” met to sign the 2023 Liptako-Gourma Charter. A December 2023 statement announced plans to dissolve this region’s G5 organization, whose conflict with groups like Ansar Dine  received foreign backing in Operation  Barkhane. In July 2024, a mutual defense “alliance” named for this region formed a “tri-state confederation” and promised to exit ECOWAS. Most of the countries of the “coup belt” are in this geographical region, where rainwater harvesting initiatives and the Great Green Wall have tried to curb southward-creeping desertification. For 10 points, name this semi-arid region south of the Sahara.","Sahel ",Current Events,10
"In the 2010s, politicians from this city were wiretapped in the massive “middle world” investigation. Hood-wearing gapistas make illegal, nocturnal repairs to the potholes that cover 80 percent of this city’s streets. Metonyms for dysfunction in this city include an incomplete, sail-shaped sports complex designed by Calatrava and its fire-prone ATAC buses. Following the collapse of a national unity government in 2022, this city planned to build a waste-to-energy plant that would fix its perennial  garbage fire problem, a symbol of its degrado. Wild boars invaded the streets of this capital city before its 2021 mayoral elections, which were won by a member of the center-left Democratic Party, or PD. This city’s first female mayor, Virginia Raggi , was a member of the Five Star Movement. For 10 points, name this capital city where a planned Archaeological Walk will give visitors access to the Imperial Fora.",Rome ,Current Events,10
"Jarrod Shanahan’s history of this place profiles the “welfarism” of former garment worker Anna Kross. A quilt by Jesse Krimes visualizes a 10-year deadline for this place that Jacques Jiha further delayed in 2024. In this place, members of the COBA union oversee the use of “the bing.” Until 2023, the main alternative to this place was a massive barge called the Vernon C. Bain Centre. An article by Jennifer Gonnerman drew attention to the case of a man who took his own life after spending three years in this place as a teenager,  Kalief Browder. A 2014 report by Preet Bharara attacked the “culture of violence” at this place, whose sole access point is the Francis R. Buono bridge. This place has an average daily population of around 10,000 people, most of whom have not been charged. For 10 points, name this infamously hellish jail, the largest in New York City, which is located on an East River island.",Rikers Island Jail,Current Events,10
"The PR firm Brown Lloyd James helped one member of this family appear on the cover of the March 2011 issue of Vogue for projects such as a never-realized Museum of Discovery. That woman who married into this family founded the mobile phone company Emmatel, once worked as an M&A specialist at J. P. Morgan in London, and was granted the title ""First-Lady"" in 2016 after the death of Anisa, another member of this family. A presumed heir in this family died in 1994 while allegedly  racing his Mercedes to the airport. Sam Dagher wrote a book titled for the popular slogan, "" Or We Burn the Country."" One member of this family ordered his troops to withdraw from a 30-year occupation of another country following a 2005 car bombing that killed Rafik Hariri. On May 7, 2023, the Arab League voted to readmit a country led by a member of this family, which had been expelled during the Arab Spring. For 10 points, name this family that rules Syria.",Assad,Current Events,10
"#MeToo allegations by Alaina Hampton have forced the resignation of a longtime power broker in this state known as the Velvet Hammer, Michael Madigan. In 2019, legislators in this state cleared the records of about 700,000 people convicted on marijuana charges after becoming the first state to, by a vote of the legislature, legalize marijuana. After the fingerprint scanning company Pay By Touch declared bankruptcy, lawmakers in this state passed  BIPA, the toughest law in the US concerning the privacy of biometric information, a law which has been used by Carlo Licata to sue Facebook over its use of facial recognition. The aforementioned Michael Madigan was a frequent rhetorical target of this state's Republican governor, Bruce Rauner. This state's two chambers are controlled by a super-majority of Democrats and it's governed by J. B. Pritzker. For 10 points, name this state, site of the 2012 Chicago Open.",Illinois,Current Events,10
"A plan to defeat this man in an election was codenamed Operation Arse so that ""we'd all be clear who we were talking about."" This man was caught reciting a Kipling poem while on a diplomatic trip to the Shwedagon Pagoda in Myanmar in 2017. This man's grandfather Osman may have crashed a plane while trying to impress Osman's wife, Irene Williams. Candida Yates wrote a study of the ""antics"" of this politician at an event where he got stuck on a  zipline, arguing that he intentionally made himself ridiculous. Near the end of this man’s tenure, he joked, “Pincher by name, pincher by nature” about an ex-minister. This man's downfall came following the Sue Gray report and Partygate. For 10 points, name this politician succeeded as Prime Minister by Liz Truss.",Boris Johnson,Current Events,10
"This country passed a law making it illegal to use ""judicial analytics"" to predict judicial actions. In 2018, students took to the streets to protest new rules granting universities more control over this country's previously lax college application process. A proposal to merge the two symphony orchestras run by this nation's public radio service sparked a months-long strike among radio workers in 2015. In this country, nativist attempts to limit the number of  kebab restaurants in cities have resulted in a surge in popularity of its namesake type of tacos, a dish often made from fries. Railway workers have opposed a restructuring of its SNCF railway by this country's president. A book about this country's ""suicide"" was written by a candidate in its 2022 presidential election, Éric Zemmour. For 10 points, name this country home to politicians such as the far-right Marine Le Pen.",France,Current Events,10
"This organization's former head complained that ""the kitchen cost more than my first car"" when referring to a $145 million renovation of their headquarters he opposed. A former head of this organization splits his time with the Office of Management and Budget and relies on deputies such as Brian Johnson to handle day-to-day affairs. An opinion written by John Roberts in the Seila Law case ruled that provisions that gave the head of this organization ""no boss, peers, or voters to report to"" violated the separation of powers principles of the Constitution. One head of this organization resigned to unsuccessfully challenge  Mike DeWine for Governor of Ohio. For a time, Leandra English was one of two people that claimed to be legally in charge of this organization. This organization was first headed by Richard Cordray. In 2018, this organization stopped pursuing a lawsuit against businesses that affiliated with a Native American tribe to charge high interest rates for payday lending. For 10 points, name this government agency created during the Obama presidency to better regulate the financial industry.",Consumer Financial Protection Bureau ,Current Events,10
"One controversy during this man's presidency was when he was filmed mouthing ""amen"" to a speech that the nonprofit MEMRI translated as reading, ""Destroy the Jews and their supporters."" This man earned the nickname spare tire because he was his party's second choice behind Khairat al-Shater, who was ineligible due to having recently served a prison term. This man's death in 2019 was hardly mentioned in the newspaper Al-Ahram. He won an election against Ahmed Shafiq, who had been prime minister under the  dictator who previously ruled the country. In his first post-election speech, this man unbuttoned his shirt to show a crowd in Tahrir Square he wasn't wearing a bulletproof vest. For 10 points, name this only democratically elected Egyptian ruler, a Muslim Brotherhood leader ousted by the government of Abdel Fattah el-Sisi.",Muhammad Morsi,Current Events,10
"In the 1960s, this man's friends started naming an improvised Sterno made from a toilet paper roll coated in lighter fluid after him. This man once gave a short speech at a United Way fundraiser arguing that the United Way should cease existence. An eight-and-a-half-hour-long speech this man gave against extending the Bush tax cuts was published as a book. His brother Larry is the Health Spokesperson for the  Green Party in the United Kingdom. This man unusually decided to make Puerto Cabezas in Nicaragua a sister city of the one he was the mayor of in the 1980s. After resigning from the Liberty Union Party, this man made a documentary about Eugene Debs. This man founded the Congressional Progressive Caucus. Starting in 2016, Larry David played this politician on SNL. For 10 points, name this former Democratic Presidential candidate from Vermont.",Bernie Sanders,Current Events,10
"A recent president of this country has used a wheelchair since being injured in a robbery of a bakery in 1998. Another former president of this country is currently in exile in Belgium after he was charged with having a rival kidnapped; during that man's presidency, he relied on Chinese financing for $3.7 billion in building eight new hydroelectric dams through the firm Sinohydro. One president of this country deliberately underinvested in its  oil sites as part of a campaign to force an oil company to pay $10 billion in environmental cleanup. 30,000 residents of this country suffered birth defects due to Chevron dumping oil into the Amazon. In April 2019, police entered this country's embassy in London to arrest longtime asylum-seeker Julian Assange. For 10 points, name this country once ruled by Rafael Correa and Lenin Moreno, whose current president is Guillermo Lasso.",Ecuador,Current Events,10
"A reality TV crew from this country travels to Uzbekistan and witnesses a crime in the recent film To the Ends of the Earth. In 2018, this country's finance ministry began relaxing taxes on beer with high malt content that has resulted in low-quality ""third beer"" made from peas and corn to flood the market. Politicians in this country are forbidden from having jobs other than the government ones that pays only $3,000 a month and often pose for photos with a lobster in front of a red sea after winning elections. This country’s 2019 Immigration Control and Refugee Recognition Act targeted allowing 345,000  unskilled immigrants on a five-year visa, reversing previous policies. Media in this country have played up the plight of young men known as ""herbivores."" In 2019, tech companies from this country scrambled to update calendar software for a political change announced on its NHK TV network. For 10 points, name this country where in 2019 Naruhito became Emperor.",Japan,Current Events,10
