question,answer,category,difficulty
"Research critical of this company caused short-seller Andrew Left to be suspended from a stock exchange in 2016.In 2018, this company acquired a 45% stake in Faraday Future, while it purchased a 51% stake in NEVS in 2019, and later bought the rest of its equity, signalling its entry into the EV market. This company owned Guangzhou FC, which included this company in its name until that practice was prohibited in 2020.  Along with   Vanke and Country Garden, this company forms the ‘big 3’ in its industry. This company is generally accepted as having started the 2021 Chinese property crisis when it revealed its massive debts. For 10 points, name this Chinese real estate company that, on 29th January 2024, was liquidated in the largest bankruptcy in Chinese history.",The Evergrande Group,Current Events,7
"A 2015 kickbacks scandal in this country that indicted Roxana Baldetti was named for the telephone line at this country’s SAT agency that importers called to circumvent customs duties. The Christian party Vision with Values was founded in this country, which has the highest proportion of evangelical Christians in Latin America. An NGO investigating corruption in this country, “Cicig,”  was given 24 hours to leave the country in 2019 by then-president Jimmy  Morales. A self-governing indigenous group known as“48 cantones” set up roadblocks in this country after Attorney General Consuelo Porras tried to invalidate 2023 election results. That “slow-motion coup” in this country ended after a candidate from the Seed Movement succeeded Alejandro Giammattei . For 10 points, name this Central American country where Bernardo Arévalo took office in 2024 after protests by the indigenous K’iche Maya people.",Guatemala  ,Current Events,9
"Citing systemic racism and sexism, an association of these institutions removed the author of a 1910“report” from the name of its most prestigious award in 2020. South Korea’s plan to increase the quota for these institutions from 3058 prompted mass resignations by workers in  related institutions. A literature-inspired “narrative” program at these institutions, whose early pioneers include Abraham Flexner, was developed by Rita Charon at one named for the  Vagelos family. Like an institution located in Long Island had done so in 2023, fees were eliminated at one of these institutions named for Albert Einstein after a billion-dollar donation by Ruth Gottesman. Pass-fail scoring began to be used for the first in a series of “step” exams taken at these institutions. For 10 points, what institutions’ prospective entrants take the MCAT?",medical schools  ,Current Events,9
"This resource is mined in the Scottish village of Lochaline, which was visited by Ed Conway in the first of six parts of a 2023 book. Chinese vessels have attempted to covertly collect this resource from Taiwan’s Matsu Islands. India has violent “mafias” that illegally export this resource, whose mining has endangered gharials and Lake Poyang’s freshwater porpoises. Environmentalists have decried Indonesia’s massive exports to this resource’s largest importer,  Singapore. New Jersey has spent billions on “nourishment” projects that have replenished this resource after a 2012 natural disaster. A U.S. admiral claimed that China was making a “Great Wall” of this resource in the South China Sea as part of its reclamation process. This substance is dredged to manufacture concrete. For 10 points, name this silica-rich substance collected from beaches.",sand   ,Current Events,9
"This person noted “you fulfilled my faith in you” in a February 2024 speech given using an AI-generated avatar. May 2023 riots centering on this person caused the burning of military bases and a national radio station and led to the invocation of Section 144 and an internet blackout. Those riots in support of this person came after a decision in the Toshakhana reference case. This person survived an  assassination attempt during the second of two 2022 Azadi marches he led against his successor. This man alleged that the U.S. organized a no-confidence motion against him in the Lettergate scandal. This man’s supporters used “Prisoner No. 804” as a rallying cry after his imprisonment for leaking state secrets. This former leader’s PTI party lost a 2024 election to Shehbaz Sharif. For 10 points, name this former cricket star who was removed from office as Pakistan’s prime minister.",Imran Khan ,Current Events,9
"The current head of this organization was appointed while his spouse’s failed nomination as ambassador to Canada sat in limbo. This organization eliminated a requirement in place since 2006 to pre-fund 75 years of health benefits for its workers. Upon being appointed by its Board of Governors, this organization's head faced conflict of interest concerns for being a Trump donor and a former executive at XPO. This agency revised a plan to purchase 90% gas-powered vehicles to a promise of 100%  electric vehicles by 2026 after being bailed out in a 2022 “Reform Act,” which offset this agency’s 15 straight years of losses. During its 2020 crisis, this agency was criticized for removing sorting machines and collection boxes, potentially delaying certain ballots, ahead of the 2020 election. Louis DeJoy currently heads, for 10 points, what U.S. agency that operates six days per week to dispatch mail?",United States Postal Service ,Current Events,9
"This person claimed that John Locke replaced human nature with an unknowable “X” in an essay arguing that 9/11 brought about the end of liberalism and ushered in the title “Straussian Moment.”ProPublica’s investigation “Lord of the Roths” details how this person made a gargantuan profit out of a $2000 Roth IRA. This person is the founder and so-called “don” of an unofficial “mafia” whose members include Max Levchin and  Reid Hoffman. Student recipients of this person’s fellowship, like Ethereum co-founder Vitalik Buterin, leave college to pursue other work. This person is set to bankroll the “Enhanced Games,”an Olympics-like event without drug testing. In 2016, this man became the first openly gay speaker at a Republican National Convention. Blake Masters’s Senate campaign was primarily financed by, for 10 points, what venture capitalist who cofounded Palantir and PayPal?",Peter Thiel  ,Current Events,9
"A 2022 film by the son of Costa-Gavras set in this city depicts an attempt to incite a race riot against residents of the title fictional suburb, Athena. Mamoudou Gassama was nicknamed the “Spider-Man” of this city after climbing four stories to save a dangling child in 2018. A suburb of this city known by its  administrative number of 93, part of this city’s “little crown,” is being revitalized as the site of a temporary  residential complex. An attack on a kosher grocery store took place in this city two days after another January 2015 attack by the Kouachi brothers that prompted the response “all is forgiven” on a green background. A series of November 2015 ISIL attacks targeted this city’s Bataclan Theater and its impoverished banlieue  suburbs. For 10 points, what city’s mayor Anne Hidalgo is trying to quell tensions ahead of its 2024 Olympics?","Paris, France ",Current Events,9
"A proposal to address this issue led to a viral soundbite in which Jessica Tisch described some who “are going to absolutely hate this announcement.” A nickname given to Joe Lhota in 2000 inspired a call for this problem to be met with a “general aura of badassery.” This problem is used to explore topics like Baltimore redlining in a 2016 documentary by Theo Anthony. This problem has been severest in Chicago for the last nine years according to an annual list by the company  Orkin. A viral 2015 video that drew attention to this problem involved a slice of pizza in the New York City subway. Attempted solutions to this problem include Mint-X bags and disgusting buckets hyped by Eric Adams. In 2023, Kathleen Corradi became New York’s first “czar” aimed to address this problem. For 10 points, curbside trash and food waste are major causes of what urban pest control problem evidenced by “holes?”",rat infestation  ,Current Events,9
"After this politician’s office claimed to rebuke a police department for a “waste of resources” in removing racist dolls from a bar, the department publicly claimed the office had instead apologized. In April 2023 remarks, this politician falsely connected one ethnic group in their country to “grooming gangs” targeting young women. While serving in their highest position, this politician attacked Stop Oil protestors as a  “Guardian-reading, tofu-eating wokerati.” This person briefly resigned after admitting to sharing an official document from her personal email address. This person downplayed her Kenyan-Mauritian heritage when antagonizing a refugee “invasion” of her country and implementing her predecessor Priti Patel’s Rwanda deportation plan. For 10 points, what controversial British Home Secretary was sacked by Rishi Sunak in November 2023?","Suella Braverman ",Current Events,9
