question,answer,category,difficulty
"This architect’s book Autobiography of an Idea ends with a description of a series of concentric arches called the Golden Door. A tripartite building now named for this architect was the first to feature large windows flanked by double hung windows and a rounded, cast-iron entrance. This architect frequently used Syrian arches and entwined Celtic patterns, the latter of which appears interlaced with bull’s eye windows on a brewery office building. Buffalo’s  Guaranty Building uses terracotta to replace the brick that Dankmar Adler and this architect used for a steel-framed skyscraper. Frank Lloyd Wright was an apprentice under, for 10 points, what architect of the Wainwright Building who used the mantra “form follows function?”",Louis Sullivan ,Fine Arts,5
"Composer and type of piece required. The composer of these orchestral pieces cheekily suggested seven “recipes” for writing them, such as avoiding it altogether or plagiarizing yourself, like when he twice copied from Aureliano in Palmira. One of these pieces from 1816 features the eighth note phrase  “three pick up Bs, then C, B” and its composer’s namesake “crescendo.” After a storm is depicted in one of these pieces, the English horn and flute play a  ranz des vaches . The most frequently excerpted section from The Thieving Magpie is one of these works, as is one that ends with a lively “March of the Swiss Soldiers” often used to depict galloping horses. For 10 points, name these orchestral pieces that open William Tell and The Barber of Seville.",overtures by Gioachino Rossini ,Fine Arts,5
"A 2016 exhibition of this artist’s “Visions of Genius” at the Noordbrabants Museum authenticated a depiction of St. Anthony separated from a funnel by a river. The burning of this artist’s hometown may have inspired several blackened buildings in the background of his paintings. This artist depicted a man dropping coins into a chest as a skeleton pokes through a door and points a silver arrow at a man in bed. Joan Miró’s The Tilled Field was inspired by a painting by this artist in which  birds appear gifting strawberries. This artist may have depicted himself as a pale white “tree man” who appears below a knife squished by two ears in a chaotic “Hell scene.” For 10 points, name this Dutch artist of The Garden of Earthly Delights.",Hieronymus Bosch ,Fine Arts,5
"Artists from this modern-day country mass-produced artworks dubbed “Madonneri” that inspired a Giovanni Bellini painting of a baby Christ with a golden apple. A “shadow painter” from this country prefigured Italian chiaroscuro with his dark shading. An artist  born in this modern-day country may have inspired the layout of Les Demoiselles d’Avignon  with a painting depicting flailing nudes behind an outstretched St. John. That artist born in this country depicted  Saints Stephen and Augustine carrying the body of a local official as his soul rises to heaven in another painting. For 10 points, Spanish friends of the creator of The Opening of the Fifth Seal and The Burial of the Count of Orgaz nicknamed him for being from what country?",Greece  ,Fine Arts,5
"This film features split-second flashes of a make-up test for its lead actress with a pale face and red eyes. A scene in this film of a woman walking home is set to Mike Oldfield’s song “Tubular Bells.” The painting Empire of Light inspired a scene in this film in which a character played by Max von Sydow is illuminated under a street light. The author of this film’s source novel, William Blatty, chose its director  William Friedkin. In this film’s finale, Damien throws himself out a window and down a flight of stairs to his death. Priests in this film chant “The power of Christ compels you!” at Pazuzu, a spirit who spins Regan’s head backward. For 10 points, name this 1973 film about a girl possessed by a demon.",The Exorcist,Fine Arts,5
"In this piece’s romantic third movement, the clarinet and flute play rising and falling 26- and 32-note tuplets. This piece opens with the low brass playing a stern fortissimo theme starting with the notes “E, down to B, D” that is later tamed by the other main theme. Cellos play wide arpeggios to emulate rocking waves in this piece’s last movement, which depicts a festival and  shipwreck. The harp accompanies a sinuous, triplet-based, high violin solo in a theme representing this piece’s title character. For 10 points, “The Young Prince and the Young Princess” and “The Sea and Sinbad’s Ship” are movements of what symphonic suite by Nikolai Rimsky-Korsakov titled for the narrator of the Arabian Nights?",Scheherazade ,Fine Arts,5
"Note to moderators: read answerline carefully. An “ancient” type of these instruments employed in gagaku ensembles has a size of 1.8 namesake units and was adapted from the Chinese xiāo . The third movement of the Yellow River Piano Concerto begins with a solo for one of these instruments, whose thin membrane gives it a distinctive buzzing sound. Unlike the dízi , the  shakuhachi is an end-blown type of these instruments. They’re not clarinets, but Theobald Boehm developed the key system for this instrument’s Western concert type. The “vessel” type of these instruments is exemplified by the ocarina. Many of these instruments are made of bamboo and may be vertical or transverse. For 10 points, name these woodwind instruments related to the piccolo.",flute ,Fine Arts,5
"A player of this instrument composed “Davenport Blues,” and played an influential solo on the Trumbauer Orchestra’s version of “Singin’ the Blues.” The leaders of ODJB and the Creole Jazz Band played this instrument, the smallest to use a device named for Paddy Harmon. This instrument plays an 11-second cadenza at the start of “West End Blues.” A player of this instrument led ensembles that recorded  “Potato Head Blues” and “Heebie Jeebies.” King Oliver mentored a player of this instrument who recorded with the Hot Five and Seven and was nicknamed “Satchmo.” For 10 points, name this instrument played by Louis Armstrong.",B-flat trumpet ,Fine Arts,5
"A 700-gigapixel image of this painting was published after a live-streamed restoration of it was completed under the leadership of Taco Dibbits in 2020. In 1975, a teacher slashed this painting, damaging a depiction of a man in it wearing yellow. A shield in this painting lists eighteen men who are represented elsewhere by a pistol called a klover. To fit into a city hall in 1715, this painting had its edges trimmed, damaging a  drummer who appears in front of a dog. The removal of a dark varnish from this painting illuminated a blue and yellow flag and a girl carrying a chicken. The Rijksmuseum’s  centerpiece is, for 10 points, what group portrait of a militia by Rembrandt?",The Night Watch ,Fine Arts,5
"Queen Victoria’s preference for the No. 7 size of these tools led to Winsor & Newton’s Series 7 line of them. The monk Philibert names a flat type of these tools with a round tip. The principle of gǔfǎ, or “bone method,” is central to using Chinese ones of these tools, which are held upright. Prized examples of these tools are made from kolinsky sable. These tools may be used in conjunction with an offset, diamond-shaped  knife to employ the contrasting techniques of impasto and sfumato. This tool is used to apply gold leaf in gilding by harnessing static electricity. A ferrule secures the handle of this tool to a tuft of fur. For 10 points, pens and what tools are used in Chinese calligraphy because their bristles hold ink?",paintbrushes ,Fine Arts,5
