question,answer,category,difficulty
"St. Stephen performs this activity with men in turbans, who sit before him on a bench, in a painting by Vittore Carpaccio. God the Father appears in a dark cloudy sky holding the crucified Jesus above six saints, including St. Augustine and St. Lawrence, in a painting of this activity by Andrea del Sarto. In a painting titled for this activity, Jesus sits on a cloud surrounded by a row of saints in the painting’s heavenly  upper portion, while Thomas Aquinas, Savonarola, and Dante appear among a large crowd performing this activity around an altar in the earthly portion below. Three paintings representing law, poetry, and philosophy accompany that painting titled for this activity in the  Stanza della Segnatura. For 10 points, Raphael depicted theologians doing what regarding the doctrine of transubstantiation?","disputation ",Fine Arts,10
"A painting by this artist of a man with a green headdress leaning onto a man with glasses writing in a ledger was rediscovered in 2015, confirming that it depicts tax collectors rather than misers. An old king with his mouth ajar hunches over before Mary and Jesus with his hands clasped in prayer in this artist’s Adoration of the Magi. An old man grins as he grasps the head of a beautiful young woman, who caresses his cheek as she steals his purse, in this artist’s painting The  Ill-Matched Lovers. In another painting by this artist, a woman inattentively flips through a prayer book while watching her husband weigh a coin in a pair of scales. A red chalk drawing by Leonardo da Vinci either inspired or was inspired by a painting by this artist that depicts a woman with a horned headdress and wrinkled breasts. For 10 points, name this artist of The Money Changer and His Wife and The  Ugly Duchess.",Quentin Matsys ,Fine Arts,10
"A donor kneels to the right of a saint from this city, who stands next to a unicorn, in a painting by Moretto da Brescia. That saint from this city falls backward, having been stabbed in the breast, in one of two paintings of her martyrdom by Paolo Veronese. Allied bombing caused the destruction of a fresco cycle depicting the life of St. James in this city’s Ovetari Chapel, part of the Church of the Eremitani. Jesus and saints are represented as planets on the vault of a building in this city that is painted deep  blue and covered with eight-pointed stars. In this city, bird-like angels swoop around in the sky next to a barren tree in a fresco of the Lamentation. A chapel in this city depicts the patron presenting a model of the chapel to the Virgin Mary in a fresco of The Last Judgement. For 10 points, Andrea Mantegna was born near what city, where  Giotto painted the Scrovegni chapel?",Padua ,Fine Arts,10
"Silvano Vinceti was ridiculed for claiming that one figure’s nose, forehead, and smile were modelled after this person, whose initial he claims to have identified in that figure’s eye. This person modelled for a figure who sits in a lush landscape, pointing across his chest and holding a thyrsis in his left hand. A naked portrait by this artist called the Monna Vanna may be based on another artist’s charcoal sketch. This person acquired a  nickname meaning “little devil” after apprenticing at the age of ten to a master who also tutored Francesco Melzi. The drawing Angel Incarnate depicts this person with an erect penis. This person modelled for a painting in which the title saint emerges out of darkness, pointing upward. For 10 points, name this possible lover of  Leonardo da Vinci, who modeled for his painting of St. John the Baptist.",Salaì ,Fine Arts,10
"Along with objects relating to Christ’s passion, rings of figures hold these objects while circling around a glowing Madonna and Child in The Glorification of the Virgin by Geertgen tot Sint Jans. Naked figures hold hands in a ring around one of these objects on a red tent on a cylindrical wooden house in a Last Judgement in Bruges. In another painting, a man standing on one of these objects bends over to balance a large  egg on his back. In that painting, a large, pink one of these objects rests on a white disk atop a head glancing sideways. These objects feature in a section of that painting just below the  ‘Tree Man,’ to the left of a bird-like demon eating a sinner, above a section for gamblers. For 10 points, name these objects featured in a section of Hell in The Garden of Earthly Delights.",musical instruments ,Fine Arts,10
"Three men warm themselves by a fire in the right background of a painting of this man writing by the light of an oil lamp. That painting of this man is the only one identified of four paintings set “at night with fire” by Giovanni Girolamo Savoldo. This man sits awkwardly with his legs crossed while an angel reaches across his arms in a painting that was rejected after its commission and then destroyed during World War II. In the replacement to that painting, this man wears red and orange robes and stands with one  knee on a bench leaning over a table, while an angel twists in the air above him. Paintings of this man writing his namesake book often pair him with an angel, and in the tetramorph he is most often associated with the man. A painting of this man’s  Inspiration hangs in the Contarelli Chapel. For 10 points, name this apostle whose Calling was painted by Caravaggio.",Saint Matthew,Fine Arts,10
"Mary grows out of a golden flower attached to Anna and Joachim, who are flanked by sibyls, in a painting by an anonymous master named after this thing; Max Friedländer named that anonymous follower of Rogier van der Weyden after this thing due to the location of his Lamentation triptych. Jan Crabbe designed an ornate gold and glass case that is used to carry this thing in procession every Ascension Day in Bruges. This thing is displayed in a  crystal cross in the crowning of an altarpiece that uncommonly depicts Judas at the center of the Last Supper; that altarpiece named for this thing is in St. Jacob’s Church in Rothenburg and was sculpted out of limewood by Tilman Riemenschneider. For 10 points, the central panel of the  Ghent Altarpiece depicts what substance pouring out of the mystic lamb, which Joseph of Arimathea was said to have collected in the Holy Grail?",the Holy Blood ,Fine Arts,10
"One of these objects lies on a desk behind the naked Christ child, who leans onto a book, in a Madonna by Filippino Lippi. The Prado museum houses a painting by Fra Angelico in which the infant Christ feels one of these objects while seated on Mary’s lap. It’s not a pen, but one of these objects is held in the left hand of a figure who receives a delicate crown composed of tiny golden stars. In a painting named after one of these objects, the central figure wears a pink  headcovering with blue and red stripes and is surrounded by six angels holding books and lilies. That tondo draws on an earlier tondo by the same artist in which Mary holds one of these objects in her left hand, symbolizing Christ’s Passion, while using her right hand to write the  Magnificat prayer. For 10 points, a Madonna by Sandro Botticelli is named for what kind of fruit?",pomegranates ,Fine Arts,10
"This building features prominently on the right side of a painting in which a man in a red gown gestures to a chasm on the painting’s left side. That painting on the north wall of this building is by Domenico di Michelino. The base is foreshortened while the main subject is in frontal perspective in a terra verde-style fresco in this building now flanked by a similar fresco by Andrea del Castagno depicting  Niccolò da Tolentino. Giorgio Vasari and Federico Zuccari painted The Last Judgement for the ceiling of this building, which is also home to Paolo Uccello’s painted Equestrian Monument to Sir John Hawkwood. According to Vasari, a young architect flattened part of an  egg to make it stand upright to win a contest to design this building’s heavy brick cupola. For 10 points, name this cathedral whose dome was designed by Filippo Brunelleschi.","Florence Cathedral  ",Fine Arts,10
"Günther Grass compared this figure to a tourist on a “sightseeing conveyor built” and associates her with“sterile perfection” in the last chapter of From the Diary of a Snail. This figure sits next to a clyster, a device used to relieve constipation. Erwin Panofsky argued that this figure represents one who can imagine Platonic forms but cannot create them in the world in an analysis that connects her to a study by Cornelius Agrippa. Keys hang from this figure’s belt, and she wears a  wreath of buttercup and watercress. Some scholars suppose that this figure represents geometry because she sits near a sphere and a straightedge and holds a compass on her lap. This figure leans with her face against her hand beneath an hourglass and a  magic square. For 10 points, name this winged, brooding woman who may personify the title concept in an engraving by Albrecht Dürer.",the angel in Melencolia I  Description acceptable.,Fine Arts,10
"Louis d’Orleans attacked one painting from this series with a knife and ordered them all to be cut up, although they were later pieced back together. In a painting from this series, a winged putto and a wingless putto test arrows on a touchstone at the foot of a bed. In another painting from this series, a fat root protrudes out of a mound of dirt, next to the handle of an urn. In a painting from this series, a young boy flails his legs in the sky over a dog and a tall stump, hanging off of a large dark  bird. These paintings were given to the Holy Roman Emperor Charles V after they were commissioned by Federico Gonzaga. In one of these paintings, a woman tilts back her head and slightly opens her lips as she is embraced by a figure in a shadowy cloud. For 10 points, name this series by Correggio depicting four  amorous stories from Ovid’s Metamorphoses, including Leda and the Swan.",Loves of Jupiter ,Fine Arts,10
"An artist from this family signed the left arm of a chair in a portrait of a man holding a stick with a snake wrapped around it. That Portrait of Pietro Manno was painted by an artist from this family. Another artist from this family arranged the letters in the first name of this family’s patriarch into a monogram on a green disk in a miniature self-portrait. That artist from this family drew a sketch in which a boy cries, having been bitten by a  lobster. Asdrubale holds the wrist of his father Amilcare in a portrait of this family by an artist from it who would go on to serve as court painter to Philip II. That artist from this family painted young Minerva smiling behind her sisters Lucia and Europa, who raises her right hand as she plays the title game. For 10 points, name this family of the painter of The  Chess Game, Sofonisba.",Anguissola ,Fine Arts,10
"At the base of a panel by this artist, an orchestra of small angels play instruments on top of the vault of the night sky. This artist painted a now-lost battle fresco for the Doge’s palace while in Venice, where he met Michelino da Besozzo and Pisanello. He’s not Masaccio, but Mamluk metalwork inspired the pseudo-kufic design on Mary’s halo in a painting by this artist that includes monkeys, a leopard, and a  camel among a busy procession. This artist depicted the Coronation of the Virgin on a gold-leaf background at the center of his Valle Romita Polyptych. The infant Christ lays his hand on a sumptuously-dressed old man kneeling before him in an altarpiece by this artist commissioned by Palla Strozzi. For 10 points, name this International Gothic painter of an ornate Adoration of the Magi, who hailed from  Fabriano.",Gentile da Fabriano,Fine Arts,10
"In the right background of this painting, a church can be seen beyond some trees through a window, beneath an emblem of two hands. The artist of this painting may have referenced the forced sale of land belonging to St. Elizabeth’s Hospital by including a sign that advertises “154 rods” of land. This painting, which has versions at Uppsala University and the North Carolina Museum of Art, depicts a man kneeling over to pick up  oyster and mussel shells in front of a tavern in its right background. In this painting, a pair of crossed herrings points to the Virgin Mary in the background, who gives alms to a beggar. This painting combines the Flight into Egypt with a scene that depicts a pair of pretzels, fowl, and a skinned  cow’s head among items for sale. For 10 points, name this painting by Pieter Aertsen.", A Meat Stall with the Holy Family Giving Alms ,Fine Arts,10
"A variant of this scene combining it with the Hunt of the Unicorn arose in the late 15th century and declined after the Council of Trent. In one painting of this scene, a round niche cut out of the pink floor holds a transparent glass vase filled with water. A lunette paired with his Seven Saints and a painting in the Martelli Chapel are among the many versions of this scene by  Fra Filippo Lippi. Another version of this scene represents the hortus conclusus motif by depicting a garden behind a wooden fence on its upper left side. Composite columns support Roman arches around a cloister in a version of this scene at the Convent of San Marco, in which a figure with colorful  wings bows before a woman dressed in blue. For 10 points, Fra Angelico is known for his depiction of what scene, in which Gabriel tells Mary she will give birth to Christ?",The Annunciation,Fine Arts,10
"In one work, this artist included a self-portrait as a grisaille ornamental head among floral vines on a yellow ground. That work by this artist also depicts marble putti holding up wreathed portraits of the first eight Roman emperors. Another painting by this artist depicts a dark-skinned man in a gray-and-white striped headcovering leaning over a wall. This artist depicted his patron turning in his chair to speak to his secretary in a family portrait called The  Court Scene. Four women, a peacock, and three pudgy-legged putti stand about a round stone wall in a painting by this artist commissioned by his patron Ludovico Gonzaga. That painting by this artist uses the di sotto in sù technique to depict an oculus opening up to a cloudy sky. For 10 points, name this artist who painted the walls and ceiling of the  Camera degli Sposi.",Andrea Mantegna ,Fine Arts,10
"The center of the Virgin’s face aligns perfectly with a crease in her blue head-covering in a painting by this artist that depicts her slightly raising her right hand, interrupted at her reading. Saint Sebastian’s navel is oddly off-center in a painting by this artist that depicts the five arrows piercing him casting dark shadows on his smooth skin. This artist of the Virgin Annunciate set a painting in a Gothic building where a cat sleeps on a wooden platform and a  lion walks past a shadowed colonnade. This artist was exposed to Flemish works in the royal collection at Naples and may have learned oil painting directly from Petrus Christus in Milan. In a painting by this artist, a partridge and a peacock strut on a ledge outside a window, through which the title figure can be seen reading. For 10 points, name this  Sicilian artist of St. Jerome in His Study.",Antonello da Messina,Fine Arts,10
"A church in this city houses a sculpture of the Madonna and Child Enthroned by Nicholas de Bruyne called the Sedes Sapientiae, or Seat of Wisdom. An altarpiece in this city depicts types like Abraham and Melchizedek and the Gathering of the Manna on its wings, while its central panel sets the Last Supper in a local home and depicts Christ as a priest consecrating the host. The chief theologian to elaborate on the Council of Trent’s decrees on religious art, Joannes Molanus, worked at a  university in this city. This city’s St. Peter’s Church houses works by Jan Rombouts and Dieric Bouts. In one painting, Christ is depicted in the shape of a curved T to reflect its commission by this city’s Greater Guild of Crossbowmen; that painting is Rogier van der Weyden’s Descent from the Cross. For 10 points, name this city in present-day Belgium home to a namesake  Catholic University.",Leuven ,Fine Arts,10
"In a painting by this artist, three angels sit in the rafters of a barn looking down towards the infant Jesus, who lies on the ground between Mary and a foreshortened cow. A child with a spoon and an emperor standing in flames are among the symbols in a painting by this artist whose four title figures sit in  Gothic-style niches, each accompanied by a dove. This artist, who depicted the saints Jerome, Augustine, Gregory, and Ambrose in his Altarpiece of the  Church Fathers, included a Crucifixion in the elaborate woodwork atop another altarpiece. Figures of St. Benedict and a local hermit-saint stand with angels beneath an ornate Gothic filigree in that altarpiece by this artist, which uses gilded lindenwood sculptures to depict the Coronation of the Virgin. For 15 points, name this Tyrolean artist of the St. Wolfgang Altarpiece.",Michael Pacher,Fine Arts,10
"One of these people is illuminated by light from an angel in the sky while lying at the base of a hill at night in a fresco by Taddeo Gaddi. A procession marches through an arch dedicated to Pompey the Great in the background of a painting named for these people that also includes an inscription of a prophecy by Fulvius. These people kneel near a sarcophagus in a painting in the Sassetti Chapel by Domenico  Ghirlandaio. An albarello apothecary jar holding red and white flowers sits in front of a sheaf of wheat in the foreground of a scene named for these people in a triptych commissioned for the church of a hospital. A scene called the“Annunciation” to these people is depicted in the background of another scene named for them in the center of the Portinari altarpiece. For 10 points, Luke’s account of the  Nativity describes the adoration of Christ by what poor laborers?",shepherds ,Fine Arts,10
