question,answer,category,difficulty
"One piece by this composer uses four short-long phrases before a short-short-short-long rhythm in the melody while the harmony plays sextuplet semiquavers throughout.  This composer’s first symphony was actually his second attempt at the genre, having completed but never performed one during his final year in a conservatory. A D minor concerto by this composer led to one performer winning the 2022 Van Cliburn  Competition. It’s not Tchaikovsky, but this composer’s best-known vocal work includes movements titled  Bogoroditse Devo and Shestopsalmiye and is regarded as one of the greatest achievements in Orthodox music, despite its composer not attending services. That piece is his “All Night Vigil”. For 10 points, name this Russian virtuoso pianist and composer known for his Symphony no. 2 in E minor, Piano Concerto no. 2 in C minor and his large hands.",Sergei Vasilyevich Rachmaninoff,Fine Arts,7
"In a discussion of this painter, Pierre-Jean Mariette remarked that his “impetuous genius … was such that he almost never made drawings for his paintings”, although others criticised his inconsistency with a common joke being that he had three pencils; one made of gold, one of silver and one of iron. This painter gained a commission to redecorate a palace after the original winner, Veronese was unable to complete it. That painting by this painter depicts the last judgement as well as iconography from the annunciation and measures  23 by 72 feet. This painter was a student of Titian but was thrown out of his studio after just three days either due to a personality clash or because Titian was jealous of this painter’s talent. This painter’s nickname derives from the fact that his father was a silk dyer. For 10 points, name this Venetian painter of The Last Supper of San Giorgio Maggiore.","Tintoretto ",Fine Arts,7
"The presence of a Hans Holbein painting on one of these objects led Franny Moyle to identify it as depicting Anne of Cleves. A man wearing a white bandana is surrounded by four nooses on one of a set of these objects housed by the Met Cloisters. A woman in a red-feathered cap gives a suspicious glance to a maid serving wine in a painting partly titled for one of these objects by Georges de La Tour housed in the Kimbell Art Museum. The earliest known  “master” printmaker was an anonymous German artist known for creating these objects. Cardinal del Monte was impressed by a painting titled for one of these objects whose foreground depicts a backgammon board. In that painting, an older man signals with his glove-covered hand to a boy who pulls one of these objects from behind his back. For 10 points, a boy in a Caravaggio painting cheats using what objects?",playing cards ,Fine Arts,9
"This type of place titles a solo piano collection containing a piece that opens with an enigmatic C sharp, then rising thirty-second notes  “D, G, B flat,” and repeats an octave up. Albert Roussel’s first symphony is titled for the “Poem of” this type of place, which also titles a Joachim Raff symphony depicting Wotan and Lady Holle. In an opera, the offbeat descending flute notes  “long C sharp, B, G sharp, short F sharp, E” heard in one of these places become a soprano part when the hero  gains the power to understand them by tasting a dragon’s blood. One of these places titles a Liszt concert étude paired with a “Dance of the Gnomes” and a piano album including “Bird as Prophet.” This place’s “Murmurs,” which imitate birdsong, appear in Act II of Siegfried when the title hero goes hunting in one of these places. For 10 points, a set of Schumann “Scenes” are titled for what natural environment?",forests ,Fine Arts,9
"In a film titled for this character, the director wears painted eyes in a staged funeral for himself, with men in horse costumes as pallbearers. At the start of a film, this character sees a brawl outside a cafe and a motorcycle hit-and-run before being led into a car that he thinks is going to a hospital. Marianne, Héloïse, and the maid Sophie read this man’s story and debate his motives in a scene from Portrait of a Lady on Fire. This character uses magic  gloves to pass through a mirror with the help of the chauffeur Heurtebise  in a film starring the director’s lover Jean  Marais. A film titled for this character’s“Testament” concludes a series that begins with The Blood of a Poet. This character is reimagined as a Black trolley car driver in a Marcel Camus film set during Brazilian Carnival. For 10 points, a trilogy by Jean Cocteau centers on what character from Greek myth?",Orpheus ,Fine Arts,9
"Triplet scale patterns in F major make up the melody of a track named for this city that follows an adaptation of the theme from Samson and Delilah on the album Clifford Brown and Max Roach. Kenny Clarke and Bud Powell appear on an album recorded in this city that includes “Willow Weep for Me” and an 8-minute version of “Night in Tunisia.” The character Dale Turner from the movie Round Midnight was inspired by  Lester Young’s recording session in this city days before his death. Dexter Gordon’s years living in this city inspired his album titled Our Man in . A big band track named for this city includes the bandleader twice saying “One more time” and repeating the final 16 bars, as well as a Thad Jones solo that incorporates “Pop Goes the Weasel.” For 10 points, a Count Basie track is titled for “April in” what European capital city?","Paris, France  ",Fine Arts,9
"This artist showed hay bales in lush green fields next to a brown cottage in a painting exhibited adjacent to the Bayeux Tapestry in 2022. Bruno Wollheim’s documentary on this artist depicts the creation of a winter landscape done en plein air in which two barns stand to the right of several trees. Yellow appendages covered in orange dots appear on either sides of a red path in a work by this artist which also contains blossoming hawthorn trees. This artist combined multiple  Polaroids into compositions like Pearblossom Highway, one of his many “joiners.” This artist designed a stained glass window in Westminster Abbey celebrating Elizabeth II’s reign using an iPad. A white cat sits on top of a man slouched in a chair in a painting by this artist whose title couple appears on opposite sides of shutters. For 10 points, name this California-based artist of Mr. and Mrs. Clark and Percy.",David Hockney ,Fine Arts,9
"A class of dance centered on the use of one of these objects is split into xing  and zhan types depending on whether the dancer is stationary. Dancers skip in a circle while clutching two handkerchiefs and one of these objects in outstretched hands during the Pashtun Khattak dance. In a Persian wedding dance involving these objects, a series of dancers pick up one of these objects and perform until receiving money from the groom. While wearing colorful coats called daghla, two rows of men face each other with these objects in the Saudi ardah dance. Dancers perform acrobatic moves with these objects in Chinese  jian  wu. Two of these objects form an X on the ground in a Highlander circle dance where they are sometimes substituted with the smaller dirk. For 10 points, name these weapons that are held in a raucous dance from the end of Aram Khachaturian’s Gayane.","swords ",Fine Arts,9
"Claes Oldenburg modeled the “profile” of a product of this company with polyurethane for a work inspired by a children’s toy. This company was the first to productionize a design inspired by Norman Bel Geddes’ fondness for the teardrop shape and developed by Raymond Loewy. A program called the “Forward Look,” advertised by the “Flookerang” logo, unified this company’s products under designer Virgil Exner. Native American-inspired brickwork and Nirosta steel were used for a  wedding-cake style building made for this company. This company’s Streamline Moderne look informed William van Alen’s design for a building topped with a seven-layer crown of crescent setbacks on terraced arches and decorated with eagles, hood ornaments, and radiator caps. For 10 points, a Manhattan Art Deco skyscraper is named for what automotive company?",Chrysler  ,Fine Arts,9
"A character in an opera by this composer describes her voice as “placed between the pages of a book” and wonders if her child will grow up to be “Cain or Abel.” That character created by this composer tells her son that a blind ex-soldier “deserved to die, but you did not deserve to kill him.” In an opera by this composer, Refka’s sister is assaulted by Tsargo during a civil war, after which their son Yonas contemplates killing Tsargo. This composer’s collaborations with  Amin Maalouf include an opera in which a woman decides to enter a convent after meeting a man who gets sick on the way to Tripoli. After learning about Clémence from the Pilgrim, the troubadour Jaufré  Rudel falls in love with her without ever meeting her in an opera by this composer, who died in 2023. For 10 points, name this Finnish composer of Adriana Mater and L’amour de loin.",Kaija Saariaho  ,Fine Arts,9
"Description acceptable. In this movement of a larger work, the fast triple-meter melody  “long C, long D, E E F long G” moves up through the orchestra from the low instruments to begin a fugal “Round Dance.” This movement opens ambiguously with a tremolo diminished chord in high strings over cellos chromatically climbing the tritone A-sharp to E. Near this movement’s end, whispery col legno strings underscore a trill-heavy woodwind melody representing  bones. Offstage chimes in this movement introduce a theme originally scored for ophicleide. An E-flat clarinet in this movement changes a theme from its larger work into a “vulgar dance tune.” This movement, which follows one depicting an execution by guillotine, includes a brassy Dies irae motif after a demonic version of the idée fixe. For 10 points, name this section depicting a satanic gathering from an opium-inspired Hector Berlioz piece.",“Dream of a Witches’ Sabbath” ,Fine Arts,9
"In this film, a man points and angrily yells “Okay, Paul!” after being called by a buzzer. During its five-year production, this film was financed by Sissy Spacek and her husband, the director’s childhood friend Jack Fisk. A woman in this film has a seizure while sitting on a couch during a scene pervaded by the sound of puppies suckling loudly at their mother. A man in this film recounts how he regained the use of his arm by rubbing it each day, before asking a guest to  carve some very tiny chickens. A woman with bloated cheeks sings the song “In Heaven” in this film, which opens as the Man in the Planet pulls a lever, releasing a sperm-like creature from the protagonist’s mouth. In this film, a man played by Jack Nance with extremely tall hair raises his alien-like baby in a desolate industrial city. For 10 points, name this experimental 1977 film by David Lynch.",Eraserhead ,Fine Arts,9
"An artwork made of this material which depicts a priestess with a box of incense standing next to an oak tree is dedicated to the marriage of the Symmachi and Nicomachi families. Another work made of this material features a man wearing a Phrygian cap standing next to the spear of a warrior whose foot is being touched by a personification of Gaia. That work made with this material depicts Jesus blessing a horse-riding warrior, who is probably  Justinian the Great. Panels depicting scenes from the Book of Genesis appear on a throne made of this material for Bishop Maximianus. This material, which was used to create the Barberini Diptych, appears with gold on the body of a statue whose central figure wears a silver crown of olives and holds a statue of Nike in his arm. For 10 points, gold and what other material were used to make chryselephantine sculptures like the Statue of Zeus at Olympia?",ivory ,Fine Arts,9
"A symphony by a composer with this first name includes the movement Red Cape Tango and a narrative read by Jack Larson. That composer with this first name wrote the tuba concerto Reflections on the Mississippi and the Metropolis Symphony. A composer with this first name wrote an opera in which Hermes guides the title King Priam to Achilles’s tent. A neurologist investigates a singer’s visual agnosia in an opera by a composer with this first name,  The Man Who Mistook His Wife for a Hat. Five spirituals are included in a Kristallnacht-inspired oratorio by a composer with this first name, A Child of Our Time. The composer of the musical A Strange Loop and a singer who quoted Beethoven’s 9th on the album Dangerous have this first name. For 10 points, composers with the surnames Daugherty, Nyman, and Tippett share what first name with the singer of“Thriller”?",Michael ,Fine Arts,9
"An artist from this city included the inscription “Closeness to the beloved, healing to the heart” in a painting that may have been inspired by a cartoon in Le Tour de Monde critiquing a slow bureaucracy. That artist from this city led excavations at the Sidon necropolis and unearthed the Alexander Sarcophagus. This city’s Pera Museum contains a painting which depicts a hodja in a red gown observing the title animals, known as The  Tortoise Trainer. Artists in this city developed a style of depicting jagged leaves alongside flowers known as saz. Rulers in this city signed their names using elaborate monograms known as tughras. Six crowns appear above an arch in Gentile Bellini’s portrait of a ruler from this city. A building in this city was nicknamed for the color of its Iznik tiling. For 10 points, name this home city of Osman Hamdi Bey, the capital of the Ottoman Empire.",Istanbul ,Fine Arts,9
