question,answer,category,difficulty
"Specific term required. One of these people died while leading an ill-fated expedition whose few survivors included the enslaved man Estevanico. One of these people known as “the Madman” styled himself the “Wrath of God, Prince of Freedom.” Several of these people funded monuments in their hometowns across Extremadura. One of these people wrote a “true history” that recounts how another of them wept during a 1520 event which translates to “The  Sad Night.” A woman who translated for one of these people was known as “La Malinche.” After winning the Battle of Cajamarca , one of these people ordered Atahualpa’s  execution. For 10 points, give the Spanish or Portuguese term for soldier-explorers like Hernán Cortés, who conquered much of the Americas.","conquistadors  ",History,5
"This modern-day country contains a fractally designed wall that may be the world’s largest man-made earthwork structure. In this country, an archaeologist observed a farmer using a Nok terracotta head as a scarecrow. The influence of the Ọọ̀ni of Ilé-Ifẹ̀  in this country was eclipsed by the Oyo Empire. In this country, the city-states of Zazzau and Gobir were conquered by  Usman dan Fodio during the 19th-century Fulani jihads. This country’s  western neighbor shares its name with a set of bronzes that Henry Rawson pillaged from a kingdom in this country. Obas ruled this country’s south while Hausa kings controlled its north. For 10 points, name this modern-day country home to the Igbo and Yoruba people.",Nigeria ,History,5
"Austria’s “Dapper” Joe Farren ran chorus lines in this city during an era where the rich patronized the Art Deco Paramount nightclub on Bubbling Well Road. This city was where the “January Storm” that purged the Four Olds took place and names a 1972 Communique where the Nixon administration “acknowledged” claims on Taiwan. The  Pǔdōng New Area in this city benefited from the creation of a Special Economic Zone in 1993 and lies across the river from The Bund. The opening of the Yángshān Port in 2005 helped this city become the busiest container port in the world. It’s not Shēnzhèn, but in 1990, Dèng Xiǎopíng re-opened a stock exchange in this city. For 10 points, name this financial capital of China.",Shànghǎi,History,5
"A man with this surname names a town where Stonewall Jackson’s forces killed Colonel Dixon S. Miles before capturing a Union garrison in September 1862. Brothers with this surname founded a publication that originally published The “Brains” and other cartoons by Thomas Nast. George Washington’s grandnephew Lewis was taken hostage in a town named for this surname in an incident resolved by troops under  Robert E. Lee. That town named for a person with this surname housed the second-ever US Armory, a facility captured in 1859 in a failed attempt to spark a slave revolt. For 10 points, give this surname in the name of a West Virginia town targeted by abolitionist John Brown.",Harper ,History,5
"In this city, Demetrio Vallejo was accused of plotting with a Soviet embassy during a 1959 rail strike. In 2006, this city was occupied for 47 days by protestors demanding that the TEPJF issue a recount. A paramilitary group called The Falcons lend their name to a massacre in this city that took place during a Corpus Christi festival in 1971. President  Miguel de la Madrid was heckled after an earthquake devastated this city in 1986. Over 300 student protestors were killed in this city in 1968 in the lead-up to an Olympics where John Carlos and Tommie Smith made a Black Power salute. The Tlatelolco  Massacre took place in, for 10 points, what capital of a country ruled by the PRI while a one-time member of NAFTA?",Mexico City ,History,5
"In 2023, the International African American Museum opened in this state’s Gadsden’s Wharf. After its legislature closed his school, Daniel Payne left this state and joined the AME Church. In this state, a group of mainly Congolese slaves chanted “Liberty” while being led by Cato in the largest British colonial slave revolt. A failed slave revolt on Bastille Day in this state was planned by a man who purchased his freedom with his lottery winnings,  Denmark Vesey. The Stono Rebellion occurred in this state. In the Antebellum period, this state had the largest proportion of Black to white residents due to its rice and indigo plantations. For 10 points, name this state which had slave markets in Charleston.",South Carolina ,History,5
"A refugee from this government known as Queen Monique set off a craze for wearing pink in China. Because this government destroyed almost all cameras, the 2013 documentary The Missing Picture used stop-motion animation. The first man charged by the Extraordinary Chambers in the Courts for actions taken during this government’s reign was Comrade Duch . After declaring a  “Year Zero,” this government sent New People to “interrogation centers,” which housed supporters of the exiled king Sihanouk . This government turned a high school into a notorious death camp at S-21, which continued to torture prisoners even as the Vietnamese Army invaded. For 10 points, name this government headed by Pol Pot that ruled Cambodia.",Khmer Rouge  ,History,5
"The fifteen “Proven Companions” of this battle’s victor are the only people known to have fought for its winning side. The night before this battle, the losing side camped on Caldbec Hill near a “hoar apple tree” before moving to Senlac Hill the next day. This battle’s losing commander died alongside his brothers Gyrth and Leofwine during it. This battle’s victor landed at  Pevensey briefly before it and was crowned later the same year on Christmas Day. Bishop Odo commissioned an artwork that depicts this battle’s loser dying from an arrow in his eye. The Bayeux  Tapestry depicts Harold Godwinson’s death during, for 10 points, what 1066 CE victory for William the Conqueror?",Battle of Hastings,History,5
"Description acceptable. During the English Civil War, William Dowsing was nicknamed for vigorously enforcing this policy as per a law that called out rood lofts. A decree by Yazid II may have inspired a later policy of this type whose end in 843 CE is celebrated on the Feast of Orthodoxy. A “fury” of this policy took place during Germany’s Bildersturm in the 16th century. One of these policies was applied to the Temples of Bel and Baalshamin in  Palmyra in 2015. Emperor Leo III began a period of applying this policy in the Byzantine Empire based on a prohibition in the Ten Commandments. A palace in Nimrud was bulldozed as part of one of these policies by ISIL. For 10 points, name this policy that prohibits the use of religious images.",iconoclasm  ,History,5
"People suffering from this disease were treated by the Australian bush nurse Sister Kenny. Over 200,000 “pioneers” received a placebo as part of a nationwide trial of a treatment for this disease developed at the University of Pittsburgh. 44 people were infected by this disease due to faulty practices from Berkeley’s Cutter Labs. Dr. Hart E. Van Riper warned against this disease’s spread at certain  summer camps. A cure for this disease was the original aim of the charity March of Dimes. Polish-American scientist Albert Sabin developed an oral vaccine for this disease. For 10 points, name this disease that often causes childhood paralysis and whose vaccine was first created by Jonas Salk.",polio ,History,5
"In 2018, a statue of this person was discovered in the ruins of a harbor at Berenike in Egypt. Attempts to date this person’s life include Dotted Chronology, which is based on the Five Patriarchs, and a Corrected Long Chronology based on rock carvings. In 1998, the LTTE attacked a building housing this person’s left canine tooth. After stopping the sacrifice of goats, this person befriended King  Bimbisara of Magadha. A red sandstone statue of this person at Leshan is the tallest pre-modern statue in the world. This person, who was born in Lumbini as a member of the Shakya clan, had his body parts enshrined in stupas. For 10 points, name this prince who taught the Eightfold Path after gaining enlightenment.",Siddhartha Gautama ,History,5
"An Italian pioneer of this technology gave rise to a trend for “Lunardi skirts” in England. Enthusiasm for this technology in France diminished after a 1785 accident that killed Jean-François Pilâtre de Rozier . It’s not the telegraph, but a Corps that used this technology to gather intelligence at the Battle of Antietam was led by Thaddeus S. C. Lowe. This technology powered bombs that killed six people in Bly, Oregon in the only fatal  Fu-Go long-distance attack during World War II. In France, this technology was pioneered by the Montgolfier brothers and later used by Léon Gambetta to escape the Siege of Paris. For 10 points, name this technology that Jean-Pierre Blanchard used in 1785 to float across the English Channel.",hot air ballooning ,History,5
"During a renaissance in this city, Anton Koberger printed an encyclopedic Chronicle. It’s not Aachen, but the Golden Bull of 1356 granted this city the right to host the first diet of a Holy Roman Emperor. Much later, 152 anti-aircraft searchlights were used to make a “cathedral of light” in this city. A speech given in this city by Julius Streicher to an audience of 700,000 appears in a  propaganda film by a woman who later directed Olympia. Some “subsequent” events in this city concerned the makers of Zyklon B. Robert H. Jackson represented US interests at an event in this city’s Palace of Justice that sentenced Hermann Göring to death. For 10 points, name this German city that hosted a series of Nazi war trials.",Nuremberg ,History,5
"A company in this industry colloquially known as Poverty and Death operated a facility in Senghenydd  where 440 people were killed in October 1913. An alliance between workers in this industry and gay rights activists inspired the film Pride. On Vesting Day in 1947, one country nationalized this industry under the NCB. A 1973 strike in this industry prompted the Three-Day Week under the  Heath government. A union of workers in this industry fought the so-called Battle of Orgreave under the leadership of Arthur Scargill. The first commercial deployment of Thomas Newcomen’s steam engine was to pump water for this industry. For 10 points, the ironclad HMS Devastation was fueled exclusively from what industry’s outputs?",coal mining ,History,5
