question,answer,category,difficulty
"Nathaniel Deutsch debunked a book claiming that this historical political territory was annually traversed in a triangular migration by a “tri-racial” group partly composed of Fulani pastoralists, the Ben-Ishmael tribe. This territory was seen as a testing ground for “ward republics” by a man who wanted to divide it into areas like Assenisipia and Metropotamia. Zane’s Trace cut through this territory, where the “French 500” arrived to settle Gallipolis after William Duer sold them worthless deeds. A  university named for this territory created the title Dean of Women for the “do everything” activist Frances Willard. This territory was established by the successor to an act that created a survey system based on 6-mile-wide grids called townships. For 10 points, the formation of states in what territory was governed by a namesake act passed after Thomas Jefferson’s Land Ordinance?",Northwest Territory  ,History,10
"A journal entry about people on this body of water ignoring the writer’s boat gave rise to the New Age legend of “invisible ships.” Repatriation efforts have targeted weapons stolen from this body of water, like four-pronged spears and a red mangrove shield. Though she actually lived to its north, the “king plate” gorget given to Cora Gooseberry calls her the “queen” of this body of water. An expedition to this body began the “tyranny of distance” and included Mary Bryant, who was later defended in court by  James Boswell. A cape on this body of water is named for Daniel Solander, who visited it as one of the Linnaeus apostles. After the Gweagal  people’s land along this body proved “unsuitable,” Arthur Phillip settled nearby at Port Jackson with the First Fleet. For 10 points, Joseph Banks called for penal settlement of what body of water where the HMS Endeavour collected plants?",Botany Bay ,History,10
"This leader developed a precursor of non-alignment called “negative equilibrium.” A plot against this leader was encouraged by Ann Lambton, backed by the Rashidian brothers’ gangs, and signaled by the phrase “It is now exactly midnight.” An action spearheaded by this leader aimed in part to relieve workers in a shanty town called “Paper City.” This notoriously weepy leader lay in bed wearing pink pajamas during negotiations with Averell Harriman that helped make him  Time’s Man of the Year for 1951. This leader of the National Front came to power after General Razmara was assassinated for opposing his campaign against the “Seven Sisters” cartel. Kermit Roosevelt led Operation Ajax to depose this ally of the Tudeh Party, ending the Royal Navy’s blockade of his port of Abadan. For 10 points, name this prime minister of Iran who nationalized the Anglo-Iranian Oil Company.",Mohammed Mossadegh ,History,10
"A treatise opposing a king of this name provides a rare scriptural justification for trial by ordeal to uphold one in which a knight fetched a stone from a vat of boiling water. Hincmar of Rheims attacked a king with this name for nonsensically claiming that his wife got pregnant via sodomy with her brother. The Susanna Crystal may depict the attempt of a king of this name to annul his marriage to Theutberga and marry his concubine Waldrada. After being declared co-emperor by the  Ordinatio imperii, a man with this name led forces against his father at the Field of Lies in a rebellion sparked by the latter’s remarriage to Judith of Bavaria. A man of this name founded a kingdom that was partitioned in the Treaty of Meerssen  and later became the Duchy of Lorraine. For 10 points, give this name of a king of Middle Francia who, with Louis the German and Charles the Bald, signed the Treaty of Verdun.",Lothair  ,History,10
"Jean Marteilhe  wrote a rare memoir of life as one of these people, who were watched by argousins  and worked in groups called chiourmes  in the scaloccio  system. Working as a chaplain to these people inspired Vincent de Paul to found the Lazarists. A statue of the Virgin Mary was supposedly thrown out a window by John Knox during the 19 months he spent as one of these people after being found in St. Andrew’s Castle with the killers of David Beaton. Instead of working in this role, forçats  were sent to the Toulon  Bagne  after a 1748 edict that ended the use of this role as the most common punishment for male convicts in France. In the Mediterranean, captives served in this role while chained to benches on the xebecs  used by Barbary pirates. For 10 points, at the Battle of Lepanto, the labor of what people propelled the Holy League’s ships?","galley rowers ",History,10
"Description acceptable. This regime sent truckloads of red-shirted thugs to throw rocks at an opposition party’s HQ in the 27 July incident. The exposure of this regime’s purchase of a fleet of dilapidated East German warships led this regime to ban magazines like Editor and Tempo. A crony of this regime, the “plywood king” Bob Hasan, led its negotiations with the fraudulent Canadian gold mining firm Bre-X. The fall of this regime ended a “dual function” system that gave the  ABRI an inside track to civil service positions. During the riots that brought down this regime, its “business pillar,” the Salim Group conglomerate, was used to justify the burning of thousands of ethnic Chinese businesses. This regime was opposed by Megawati’s PDI and followed by B. J. Habibie’s Reformasi after falling during the Asian financial crisis. For 10 points, name this 32-year dictatorship in Indonesia.",New Order ,History,10
"Nathaniel Hawthorne loathed the post he was awarded in this city for writing Franklin Pierce’s campaign biography. In this city, one of Robert E. Lee’s pipes was auctioned off during a “Southern Bazaar” that raised funds for Confederate POWs. This city was home to the rival spy networks of Thomas Haines Dudley and James Dunwoody Bulloch. James Waddell ordered the final official lowering of the Confederate flag in this city when he surrendered the Shenandoah. This city was the site of the first US  overseas consulate. A shipyard near this city produced the Laird Rams and a sloop that became the focus of damage claims after sinking at the Battle of Cherbourg, the CSS Alabama. This city was the main destination of Confederate blockade runners in a country that suffered a “Cotton Famine” in nearby Lancashire. For 10 points, what port city was the center of the Atlantic slave trade in Britain?",Liverpool,History,10
"An uprising in favor of this ruler was led by “Cyclops,” a gigantic merchant reputed to withstand hammer blows to the chest and eat ostriches in a single sitting. This ruler of the “four tribes” is cast as an ‘Amlaqi who killed King Jadhima of the Tanukhid confederation in al-Tabari’s account. This ruler fortified and alternately names the citadel of Halabiye, the site of many of the “tower tombs,” rock-cut hypogea, and frontal-facing funerary reliefs characteristic of this ruler’s realm. This ruler’s  cavalry of “oven-pot men,” or clibanarii, were worn out by extreme heat at the Battle of Immae. Zabdas led an invasion of Egypt under this ruler, who claimed Ptolemaic descent. This ruler was paraded alongside Tetricus of the Gallic Empire after both were defeated by Aurelian. For 10 points, name this spouse of Odaenathus  and regent of Vaballathus who led a breakaway state in Palmyra.",Zenobia  ,History,10
"In this colony, girls were hired for a short-lived plan to spin spider-silk from golden orb-weavers. Though it was later used in the Maghreb, insurgents in this colony were the first targets of the “oil spot” strategy of an administrator who placed its ethnic groups under a system of indirect rule called the “politics of race,” Joseph Gallieni. Rival ethnic groups in this colony formed the Party for the Disinherited and the MDRM. Frantz Fanon critiqued a book written after the bloody suppression of a 1947 uprising in this colony,  Prospero and Caliban by Octave Mannoni. The 1895 “red shawl” rebellion started among a côtier ethnic group in this colony, the Sakalava. This colony was formed after highland members of the Hova caste fought occupiers in a war that ended with their last queen’s exile to Réunion. For 10 points, what colony did the French found by overthrowing Ranavalona III’s Merina Kingdom?",French Madagascar ,History,10
"This man failed to apply his treatise on The Management of Troops to his only military post, which ended with his troops ransacking his house and forcing Shams al-Dawla to exile him. This man’s magnum opus superseded a “Royal Book” that Constantine the African introduced to Europe. This man’s mentor Masihi died in a sandstorm while they fled to the Ziyarid emir Qabus in Gorgan in an effort to escape Mahmud of Ghazni, who sent portraits of this man to cities like Reyy, Tus, and Balkh. This author’s work was used in bimaristans and is celebrated by his  tower mausoleum in Hamadan. In a rare primary source on libraries of the Islamic Golden Age, this author’s autobiography describes the chests of books he was given access to after curing the Samanid emir of Bukhara, his hometown. For 10 points, what polymath wrote a Galen-influenced encyclopedia called the Canon of Medicine?",Ibn Sina ,History,10
