question,answer,category,difficulty
"One aspect of this event was described as “the most magnificent and affecting spectacle” by historian Paul de Rapin. This event was a key cause of the non-juring schism. Some historians argue that this event was a result of attempts to repeal the Tests act, while another cause of this event may have been Henry Compton’s refusal to censure John Sharp. This event coincided with the issuance of the  declaration of the Hague, in which one participant claimed he only wanted to establish a free parliament and protect the protestant faith, and that he did not want to threaten another man’s position. For 10 points, name this event of 1688 which resulted in the deposition of King James II.","The Glorious Revolution ",History,7
"One theory about this Empire’s dynasty holds that they originated in the Ganges Delta, while another says they were from Bengal. This empire was visited by a Buddhist monk who remarked on the leniency of its penal code and the happiness of its people.  That monk was Faxian. During this empire’s rule and its non-Roman  namesake ‘peace’, many religious texts were canonised, including the Mahabharata. Notable rulers of this Empire include Skanda, Samudra and Chandra. For 10 points, name this Empire which covered much of North and East India during the 4th to 6th centuries and was named after its first ruler.","Gupta Empire ",History,7
"One Pope with this name allied with Charlemagne against the Lombards following his accession in 772. That Pope with this name convened the second council of Nicaea. The last Pope with this name succeeded Leo X instead of Leo’s cousin Giulio de Medici and he appears as a character in Marlowe’s Doctor Faustus. Another Pope with this name was the third in the “Year of four Popes” of 1276. One Pope with this name was aided by  Frederick Barbarossa in regaining control of Rome and later crowned him as Holy Roman Emperor. That Pope with this name was born Nicolas Breakspear. For 10 points, give this Papal name shared by the only Dutch-born Pope and the only English-born Pope.",Pope Adrian ,History,7
"James H. Breasted described a record of this man as “the largest and most detailed accounts concerning military exploits” from the country which this man ruled. This ruler led his troops through the single file Aruna Mountain pass in defiance of his council, leading to his best-known battle. Recent scholarship suggests that this ruler did not actually   deface the monuments of his predecessor until the end of his reign, in order to smooth the transition to his son, Amenhotep II. This man’s usual name may mean “Born of Thoth” or “Thoth is born”. For 10 points, name this victor of the battle of Megiddo who co-ruled with, and later succeeded, Hatshepsut.","Thutmose III ",History,7
"This figure wrote a poem beginning “The seas of the four directions – all are born of one womb”, which would later be recited by his grandson in a bid for peace. This man was born with the title “Prince Sachi” and accounts of his childhood are contradictory, with one claiming he was a bully and a talented sportsman, while another states that he was thin and sickly. This man’s governing philosophy was outlined in thefive point  “Charter Oath” and would lead to the creation of the position of Prime Minister along with a largely powerless parliament. This ruler was born one year before the arrival of the “Black Ships”, and some believe that the “Unequal Treaties” may have helped to shape his foreign policy. For 10 points, name this Emperor of Japan whose modernised the Japanese economy and military in his namesake “Restoration”.",Emperor Meiji ,History,7
"William Lane sought to establish a communist utopia in this country by founding New Australia. Bernhard Förster attempted to establish an Aryan colony in this country with Friedrich Nietzsche’s sister. A dictator of this country established a brutal penal colony at Tevego and organized a secret police known as the “hairy feet.” Many of this country’s citizens search hopelessly to this day for “hidden treasure” buried by one of its leaders known by a term in  Jopará  slang. This country imprisoned the explorer Aime Bonpland for disrupting a state monopoly on yerba mate . The Irish-born Eliza Lynch was the mistress of a president of this country who died at the Battle of Cerro Corá during a conflict that eradicated almost two-thirds of this country’s population. This country’s first dictator was the Rousseau-obsessed doctor José Francia. For 10 points, name this country that lost the War of the Triple Alliance.",Republic of Paraguay ,History,9
"A failed Viking siege of this city in 844 ended with 400 Vikings being hanged on palm trees by this city’s defenders, who then constructed its first shipyard. A qadi from this city named Abu al-Qasim founded the Abbadid dynasty, which ruled an independent kingdom based in this city. Ferdinand the Great of Castile forced this city’s rulers to hand over the remains of a saint from this city who authored an encyclopedia called the  Etymologie. The Almohads constructed the Torre del Oro and a minaret that would later become the Giralda  belltower in this city, which was the home of a scholar named Isidore. Ferdinand and Isabella baptized their son in this city’s cathedral, which is adjacent to a palace called the Alcázar. For 10 points, name this Spanish city on the Guadalquivir River that is the largest city in Andalusia.",Seville ,History,9
"A Union general with this first name was the father-in-law of Jeb Stuart and authored an 1862 Cavalry Tactics Manual that was used by both sides in the Civil War. Another Union general with this first name who ironically claimed “The Rebel bullet that can kill me has not yet been molded” died, along with Isaac Stevens, at the 1862 Battle of Chantilly; that man with this first name was the nephew of Stephen Kearny. Forces under another general with this first name killed  Jeb Stuart at the Battle of Yellow Tavern just outside Richmond and defeated Jubal Early at the Battles of Cedar Creek and Third Winchester. That man with this first name destroyed the Confederate breadbasket by burning much of the Shenandoah Valley. For 10 points, give this first name of the holder of the title General of the Army with the last name Sheridan.","Philip ",History,9
"The missionary Homer Hulbert fiercely advocated for this ethnicity’s independence. A teenage activist for this ethnicity often compared to Joan of Arc was tortured by the authorities for leading an impromptu protest in a marketplace. A nationalistic song composed by this ethnicity states “your feet will ache before walking ten miles” and repeats a refrain about going through a mountain pass. An independence activist for this ethnicity listed 15 reasons as to why he  assassinated a prime minister at a railway station in 1909. Philip Jaisohn, who founded the Enlightenment Party to advocate for this ethnicity’s independence, helped plot the Gapsin Coup against one of their kings. Suspicions surrounding the poisoning of a king of this ethnicity sparked protests on March 1st, 1919. For 10 points, name this ethnicity whose independence activists sang the folk song “Arirang”.",Koreans  ,History,9
"Studies by Gisela Kopp and Nathaniel Dominy have analyzed the DNA of baboons from this place. According to the Palermo Stone, a trading expedition to this place procured large quantities of an item called‘ntiyw . Perahu, the only recorded ruler of this place, stands next to his wife Ati, who possibly has elephantiasis, in an ancient relief. A serpent from this place relates how his family perished when a star fell to Earth in the  “Tale of the Shipwrecked Sailor.” The port of Saww was supposedly the starting point of Amenemhat II’s expedition to this place, which was referred to as Ta Netjer. Fauna taken from this place were planted outside Deir el-Bahri, whose reliefs depict caravans of incense being brought back from it. For 10 points, Hatshepsut traveled to which semi-mythical kingdom possibly on the Horn of Africa?",Land of Punt  ,History,9
