question,answer,category,difficulty
"In a story, a man proposes hunting these animals after musing on a girl’s name that mixes “memory and desire.” A story titled for these animals opens by describing a woman reading an article titled “Sex Is Fun –– or Hell” while waiting for men to finish using hotel phones. The protagonist of a story recounts the “tragic life” of these animals, who gorge themselves in their  feeding holes until they become too large to escape. In a story titled for these animals, a young girl named Sybil Carpenter converses on the beach and has her feet kissed by Seymour Glass, who later commits suicide. For 10 points, J. D. Salinger wrote a story about “A Perfect Day for” what fictional fruit-eating animals?",bananafish ,Literature,5
"This character orders a man to “eclipse himself” by the time he claps three times. The real-life inspiration for this character wrote about meeting a race with a musical language on the Moon in his novel The Other World. That man’s supposed death from a falling beam was fictionalized as this character’s death after visiting a convent. During a duel, this character delivers a ballad that repeats “thrust home!” This title character of an 1897 play often mentions his  panache . This man offers to write a love letter for the poet Christian , but falls for the addressee of that letter, Roxane. For 10 points, an Edmond Rostand play chronicles what French author and swordfighter with a large nose?",Cyrano de Bergerac  ,Literature,5
"For 211 years, the only version of this play performed was a David Garrick adaptation with a balcony for a Pedant. This play’s events are imagined as “the best dream that ever I had in my life” by a drunkard who is dressed in noble clothes. A discussion of falconry appears in this play in the same act that a woman explains she was “bedazzled with the sun” when she mistook  Vincentio for a maid. “Fie fie! unknit that threatening unkind brow” opens this play’s last speech, which is responded to with the phrase “Come on and kiss me.” A man who desires to “wive it wealthily in Padua” in this play is the abusive Petruchio. For 10 points, Katherina is controversially made “more obedient” to her husband in what play by William Shakespeare?",The Taming of the Shrew,Literature,5
"This author completed an English translation of the spiritualist Kabir that celebrates how “God is within us.” The speaker of a poem by this author does not know “how to answer” questions about the meaning of songs as “you sit there smiling.” The conclusion of a collection by this author asks for all his songs to gather “into a single current” and “flow to a sea of silence.” The speaker of a poem by this author searches for a place  “where knowledge is free” and “where the mind is without fear.” A “ruler of the minds of all people” is praised in an anthem by this author, who opened a 1910 poetry collection with the declaration “Thou hast made me endless, such is thy pleasure.” For 10 points, name this Bengali poet of Gitanjali.",Rabindranath Tagore ,Literature,5
"In a blank verse epic by this author, some of the 99 suitors encounter the Ogre of Endless Tears while questing to find a cure for Warigia’s  disability. After dropping out of the University of Leeds, this author wrote a novel centered around the proverb “that which bites you is in your own clothing.” That novel by this author centers on a character who is reluctant to give a speech because of his guilt from betraying Kihika. A different novel by this author concludes with the teacher Munira burning down a  brothel in Ilmorog. This author explained his decision to stop writing in English in the essay “Decolonizing the Mind.” For 10 points, name this Kenyan author of A Grain of Wheat and Petals of Blood.",Ngugi wa Thiong’o   ,Literature,5
"In an essay about this short story, George Saunders compares its awkward narrator to Dwight Schrute to explain the skaz tradition. This story ends by observing that “such things happen in this world; rarely, but they do.” In this story, a man writes a letter accusing Madame Podtochina of cursing him because he won’t marry her daughter. In this story, a man wanders around St. Isaac’s  Bridge trying to dispose of this story’s title object, which he later learns has become a state councilor. The barber Ivan Yakovlevich finds this story’s title object in a loaf of bread, before Major Kovalyov tries to reattach it to his face. For 10 points, name this Nikolai Gogol short story about a missing body part.",“The Nose” ,Literature,5
"A character created by this author has a conversation with Cordelia while painting a house about to be demolished. In a novel by this author, a woman exclaims “Thank God!” after learning that her son died from falling off the horse Thunderclap. One of this author’s characters, who becomes a missionary in a Tunisian monastery after the death of Kurt, carries around the teddy bear  Aloysius . The protagonist of a novel by this author becomes trapped in a Brazilian jungle by Mr. Todd and is forced to read Dickens. In a novel by this author, Julia Flyte is convinced by her father’s deathbed conversion to break off a plan to marry Charles Ryder. For 10 points, name this author of A Handful of Dust and Brideshead Revisited.",Evelyn Waugh ,Literature,5
"This object is described as a “red hell” whose plunge “into that blackness” is called the “material counterpart” of a man’s “monomaniac soul.” This object is lined with teeth and has small holes in its floor so that one character can maneuver it comfortably. This object, which is owned by Bildad and Peleg, has a  “gold coin from Quito” nailed into it by a character with a lightning-shaped scar on his face. This vessel encounters a similar one named the Rachel. In a prophecy told by Fedallah, this vessel is a hearse made from “American wood.” A character uses a coffin carved by a Polynesian harpooner named Queequeg to survive this ship’s destruction. For 10 points, name this whaling ship from Moby Dick.",the Pequod ,Literature,5
"An ode by this poet asks a city “What angel is hidden in your cheek?” A poem by this author declares “the dove and the leopard fought” and “a boy brought the white sheet.” Another poem by this author describes “the ship out on the sea / and the horse on the mountain,” and a woman “with eyes of cold silver” dreaming on her balcony. This author of Poet in New York declares  “Green, how I want you green” in “Romance Sonámbulo.” This poet repeats “at five in the afternoon” in “Lament for the Death of a Bullfighter,” and wrote a play in which The Moon watches Leonardo flee with the Bride. For 10 points, name this member of the Generation of ’27, whose Rural Trilogy includes The House of Bernarda Alba and Blood Wedding.",Federico García Lorca ,Literature,5
"Kirill Eskov’s alternate sequel to one of this author’s novels describes Haladdin’s journey to liberate humanity by destroying a mirror. This author’s Book of Lost Tales describes the destruction of two lamps and the creation of two trees after the “music of creation.” A posthumously published twelve-volume book described this author’s “Legendarium.” The walking song “The Road Goes Ever On” appears in this author’s first published novel, in which a  riddle contest is won by asking, “What have I got in my pocket?” On being heated, an object from this author’s novels displays two lines in Black Speech declaring its purpose to “rule them all.” For 10 points, name this author of The Lord of the Rings.",J. R. R. Tolkien  ,Literature,5
