question,answer,category,difficulty
"The image of a crushed frog on a road recurs in a novel titled for this practice that begins by interlacing an account of a boy drawing a seagull with excruciatingly detailed descriptions of a ferry docking at an island. The narrator engages in this practice in Madame Lemercier’s boarding-house in Henri Barbusse’s novel Hell. The title character begins engaging in this practice in a rye field behind the Forest Hotel ten years after attending a ball in Town Beach at which her fiancé Michael left her for Anne-Marie Stretter in The  Ravishing of Lol Stein by Marguerite Duras. A novel titled for a performer of this practice never makes clear whether the traveling watch salesman Mathias actually murdered the 13-year-old Jacqueline Leduc. For 10 points, name this sexual practice that titles a pioneering nouveau roman by Alain Robbe-Grillet.","voyeurism ",Literature,10
"A woman drags her “barking” shadow in a poem in this language, “Face of Rhythm,” which ends a collection structured around the 49 days that souls spend in limbo, Autobiography of Death. A poem in this language calls its subject “a tap” but says that “the water running out of him is all shit, however.” This is the first language of an author who compared catering to the white poetic establishment and the work of Richard Pryor in the essay “Stand Up.” The narrator forgets the advice of  “K,” one of the few Latin letters in the poem, and sits next to the title figure in a poem in this language by the author of At Thirty, the Party is Over. This is the first language of the author of Minor Feelings. This language is used by a poet who wrote of being assaulted by a once-perennial Nobel candidate in “Monster,” launching the #MeToo movement in her country. For 10 points, name this language of Ko Un and Choe Yeongmi .",Korean  ,Literature,10
"A play by this author, in which a viper bites a woman named both “Marguerite Ida” and “Helena Annabel,” was mashed up with Olga’s House of Shame by the Wooster Group and revived at the Hebel Theater by Robert Wilson. The Living Theatre’s first piece was this author’s “curtain raiser” Ladies’ Voices. This author implemented a theory of the “play as landscape” in Doctor Faustus Lights the Lights. A novel by Wolfgang Koeppen takes its title from a work by this author that ends with a ghostly voice declaiming on “my long life, my long life” after a  statue is unveiled at the US Capitol. In a theatrical work with text by this author, Ignatius wonders “if a magpie in the sky on the sky can not cry” after seeing “pigeons on the grass alas.” This author wrote a libretto about Susan B. Anthony for The Mother of Us All. For 10 points, what author collaborated with Virgil Thompson on Four Saints in Three Acts?",Gertrude Stein,Literature,10
"This essay mistakenly refers to the “Celtic conquerors of the Roman Empire” while defending Christianity from a quip about how “the darkness thickened with the progress of the light.” This essay laments that “our calculations have outrun conception” and calls its title concept “a sword of lightning, ever unsheathed, which consumes the scabbard that would contain it.” This essay’s author studied the Ion and Symposium while writing it according to a chapter on its author’s “platonism” in M. H. Abrams’s The  Mirror and the Lamp. This essay was written out of “sacred rage” at the description of an “Age of Brass” in a Thomas Peacock essay. This essay shares its admiration of Plato’s poetic skill with a similarly titled Philip Sidney essay. For 10 points, the declaration that “poets are the unacknowledged legislators of the world” ends what essay by Percy Shelley?",“A Defence of Poetry”,Literature,10
"This character confusingly replies “ay, no; no, ay” after comparing his cousin and himself to two buckets in a “deep well.” This character studies his own face in a monologue beginning, “Give me the glass, and therein will I read.” Elizabeth I supposedly exclaimed, “I am , know ye not that?” after the Earl of Essex paid the Lord Chamberlain’s Men to stage a play about him. This character claims that not even “all the water in the rough rude sea / Can wash the balm from an  anointed King” in a play in which he wishes to “tell sad stories of the death of kings.” This character seizes the land of his uncle, who had earlier praised an “other Eden” and “sceptered isle” on his deathbed. This character is murdered in Pomfret after surrendering to Gaunt’s son Bolingbroke. For 10 points, name this king whose downfall is covered in the first play in Shakespeare’s Henriad.",Richard II ,Literature,10
"While searching for his lost horse Daylight, this character stumbles upon an abandoned hut plastered with articles about the American Civil War. While working at a sawmill, this character becomes enamored by the novel Lorna Doone, though his copy is later ruined during a risky river crossing. Sergeant O’Reilly tells this person and his brother Jem that their father had been seen wearing a flower-embroidered dress. Before being betrayed by him, this character listens to the schoolteacher Thomas Cardew recite from Henry V. This character’s  group begins a series of killings after finding a set of long leather straps and a Spencer repeating rifle. Poorly-punctuated parcels addressed to this man’s daughter in California frame a novel that opens with him being gunned down with Jim Bryne and Steve Hart. For 10 points, name this outlaw whose “true history” titles a Peter Carey novel.",Ned Kelly ,Literature,10
"This scene marks the only appearance of a “most righteous” character whom Dante is baffled to see in the eyebrow of the eagle of Jupiter in Paradiso. A retelling of this scene is the only surviving work by the author of a lipogrammatic Odyssey, Tryphiodorus. The action of this scene is compared to woodsmen felling a “proud, veteran ash on its mountain summit” after the mist that dulls the protagonist’s mortal sight is cleared, allowing him to see the gods participating in this scene. Rhipheus and Coroebus  die in this scene. In this scene, a man agrees to depart after a shooting star appears and his son’s hair is licked with divine fire. Sinon’s treachery allows this scene. In Book II of an epic, the hero’s wife Creusa appears as a ghost as he escapes this scene with his father on his back. For 10 points, name this scene in which Priam is killed in the Aeneid.","fall of Troy ",Literature,10
"In a letter apologizing to another author for an unflattering People interview, this author coined the term “Good Intentions Paving Company.” A biography of this author by Zachary Leader analyzes his dying words, “Was I a man or was I a jerk?” This author’s friendship with Christopher Hitchens and descent into dementia is fictionalized in Inside Story by Martin Amis, who considered this author his writing mentor. This author wrote of remembering Thomas Mofolo’s  Chaka immediately after giving a telephone interview in which he infamously asked, “Who is the Tolstoy of the Zulus?” One of this author’s title characters, who holes up in the Hotel Crillon while dying of AIDS, is a fictionalization of a friend for whom this author wrote a preface to The Closing of the American Mind. For 10 points, name this author who fictionalized Allan Bloom in his final novel, Ravelstein.",Saul Bellow  ,Literature,10
"A poem from this movement notes how the “years pass, years in which, I take it, events were not lacking” and repeats the phrase “a pause, a rose, something on paper.” An essay from this movement attacks “official verse culture” and contains quotations that exposed readers to Veronica Forrest-Thompson’s out-of-print theory of “poetic artifice.” A member of this movement advocated the “open text” in “The Rejection of Closure” and, at age 37, wrote a prose poem with 37 sections of 37 sentences, titled  My Life. The “West Coast” wing of this movement included Rae Armantrout and Ron Silliman. This movement’s short-lived namesake magazine was edited by Bruce Andrews and Charles Bernstein. For 10 points, Lyn Hejinian  was a member of what loose avant-garde movement, whose name is sometimes stylized with equal signs between each letter?",Language poets  ,Literature,10
"Broadway producers bent on swapping two acts of a play by this author employed statisticians to compare the number of “chuckles,” “belly-laughs” and “roll-’em in the aisles” for both orders. Late in his career, Alain Resnais  directed three film versions of plays by this author, including one whose 16 endings are bisected by a woman’s decision to smoke a cigarette in its opening scene. In a play by this author of Intimate Exchanges, a woman tries to hang, electrocute, and burn herself in the background while the cast repair and clean a  kitchen; that play ends with a game of “musical dancing” at a Christmas Eve party. In a trilogy by this playwright based in Scarborough, the title character romances his wife and two sisters-in-law in a fancy dining room, living room, and garden. For 10 points, name this English playwright of social farces like Absurd Person Singular and The Norman Conquests.",Alan Ayckbourn ,Literature,10
