question,answer,category,difficulty
"A model of these objects called the Mora 9151P is widely used in one industry in Scandinavia. Ordinary items like underwear and milk are turned into these objects with the help of eccentric accessories like cow-shaped ceramic pitchers in kiwami japan’s YouTube videos. Spalted box elder and iron from the Campo Del Cielo meteorite were used to craft an example of the gyuto type of these objects by Bob Kramer. These objects with heels, bolsters, and choils can be subjected to the  “paper test” and the “tomato test.” Asian examples of these objects have a “degree” of 15, making them more effective but less durable than 20-degree Western ones. The two-handled Italian mezzaluna and the light-weight Chinese cai dao  are examples of these objects, which are used to create the tiny cubes that make up mirepoix . For 10 points, name these kitchen implements that chefs use to chiffonade and julienne.",kitchen knives ,Trash,10
"In a film by a director who used this person’s name, Phoenix Radio and Radio Ragazza work with Adelaide Norris, the leader of the Women’s Army. A circus poster featuring a tiger entices a young version of this woman in a story by Angela Carter, who also wrote of the “dementing heat” on the “fourth of August” in a story titled for her hometown that ends the collection Black Venus. This person’s name was adopted by the feminist director of the 1980s indie films Working Girls and Born in Flames. This person attempted to  buy prussic acid to “clean a sealskin coat” after allegedly being angered by the killing of pigeons in her family’s barn. This resident of Fall River is the subject of a skipping-rope rhyme in which she sees “what she had done,” then gives her second victim 41 “whacks.” For 10 points, an 1892 “trial of the century” acquitted what woman of ax-murdering her parents?",Lizzie Borden  ,Trash,10
"This was the birth surname of an activist who danced in political one-woman street shows on UPenn’s campus before publicly self-immolating in 1996. An author with this surname, who frequently used the phrase “The Power of One,” wrote a profile of an aerospace engineer who was the target of a smear campaign after co-founding Caltech’s Jet Propulsion Laboratory. A park in San Jose honors an author with this surname who is the dedicatee of R. F. Kuang’s grimdark fantasy The Poppy War and a time-travel story by Ken  Liu. Hate mail and death threats resulted in the 2004 suicide at age 36 of that author with this surname, who used her own grandparents and the diaries of Minnie Vautrin and John Rabe  as sources for a 1997 bestseller that alleges thousands of mass murders were covered up by Japan’s government. For 10 points, give this surname of the historian who wrote The Rape of Nanking, Iris.","Chang  ",Trash,10
"While demonstrating one of these objects, an employee of William Penny nicknamed “Bobbie” fell ill in Aberdeen. John Brand documented 18th-century sightings of these objects in Scotland, where they were believed to belong to “Finnmen.” Pilots of these objects made tactile use of three-dimensional maps carved from driftwood that are celebrated in Bill Buxton’s book Sketching User Experiences. Users of these objects experience dizziness and panic in a  culture-bound syndrome called their “angst.” “C-to-C” and “sweep” are methods for “rolling” these boats. In most versions of a myth, a disguised stormy petrel uses one of these boats to carry off a future sea goddess, who later clings to one of these boats belonging to her father until he cuts her fingers off. For 10 points, oiled sealskin was often used to make Inuit examples of what narrow, closed-top boats propelled by double-sided paddles?",kayaks  ,Trash,10
"This person was the only passenger on the 1948 Empire Windrush whose occupation was marked as “writer.” This person recorded Hastings Banda singing Chewa  songs for a nearly 900-page anthology of works by Black authors. This person’s essay “Black Man and White Ladyship” denounces her mother’s racist reaction to her relationship with the jazz pianist Henry Crowder, with whom she founded the Hours Press. George Orwell asked this woman to “stop sending me this bloody rubbish” in response to a questionnaire she published as  “Authors Take Sides on the Spanish War.” A Man Ray photo of this woman shows her arms covered in her trademark ivory bangles. This muse of Brâncuși and Huxley came from a family that got rich via a transatlantic steamship mail contract. For 10 points, name this avant-garde patron and heiress to a shipping line that lost the Lusitania.",Nancy Cunard,Trash,10
"One of these places names a caffeinated drink that’s a popular “commotion lotion” among hooligans of Scotland’s “ned” subculture. A company founded at one of these places uses a spring legendarily visited by Matilda of Tuscany, which is why its logo depicts a fish holding a golden ring in its mouth. One of these places in Sicily traditionally makes a domed cassata nicknamed for its resemblance to breasts. In 2022, one of these locations in Spencer, Massachusetts, ended production of the only American competitor to Orval and  Westmalle. The clam-shaped filled wafers ovos moles and pastéis de nata tarts are among the yolk-based dishes these places developed due to the large amounts of egg whites they used to starch clothes. Places of this type pioneered strong pale ales called “tripel.” For 10 points, Belgium is home to several examples of what places that produce Trappist beers?","monasteries  ",Trash,10
"Specific answer required. In an anonymously released game of this type, a “Masterpiece Hall” level poses the question of whether video games are art while a remix of Smash Mouth's “All-Star” plays. That game, Sonic Saves the World, was allegedly made by Celeste developer Maddy Thorson. The term “motor skills” denotes segments of these games where players can alternate their movement type mid-jump, a mechanic pioneered by Morsel. Chocolate types of these games add custom mechanics, while vanilla types use default assets one would find in the Lunar Magic engine. These games are sometimes titled to pay tribute to content creators who specialize in playing them, such as  PangaeaPanga and GrandPooBear. Invisible coin blocks and precise shell jumps are signature features of Kaizo levels in these games. For 10 points, name this type of game, an alteration of a classic SNES platformer that introduced Yoshi.",Super Mario World ROM hacks ,Trash,10
"A woman on this show uses the online handle “Max Destructo” and holds the “high score” in virtually every MMORPG, somehow. In an episode of this show called “Twenty Klicks”, the protagonists attempt to block a laptop's communication signals by placing it inside of a cage. In a notorious scene from this television show, a character suggests that his coworker “isolate the node and dump them on the other side of the router” before exclaiming “I've never seen code like this!” That scene climaxes with the  Mark Harmon-played protagonist smugly pulling the power cord of a computer after two cybersecurity experts attempt to thwart a hack attempt by simultaneously typing on the same keyboard. For 10 points, name this extremely tech-unsavvy CBS television show, a spinoff of JAG that follows the Naval Criminal Investigative Service.",NCIS,Trash,10
"In a story written by this person and Eve L. Ewing, Raven and Akilah discover that a room in their newly-bought apartment gives them unlimited time. That story, “Timebox”, appears in this person’s collection The Memory Librarian. A character played by this actor has an arm tattoo of a crucified woman with a TV head, which jogs the memory of the Tessa Thompson-played Zen. In that film described as an “emotion picture”, the New Dawn facility “cleans” the robot Jane 57821, who is played by this actor. In a series of “suites” inspired by Fritz Lang’s Metropolis, this person used the robot  alter ego Cindi Mayweather. In a 2022 film, this actor played an ex-CEO who finds the napkin that proves she had the original idea for Alpha instead of the Edward Norton-played Miles Bron. For 10 points, name this actor who played twin sisters in Glass Onion and also released the albums Dirty Computer and The Archandroid.",Janelle Monáe,Trash,10
"Description acceptable. This company’s founder related a story in which Mark Zuckerberg told him that the Romans decided not to give slaves their own cloaks so they wouldn’t rebel against their masters. While on a retreat, one of this company’s senior executives mockingly referred to a different company’s employee as an “inbred Hapsburg giant.” This company's founder controversially lampooned another company’s dog mascot when he tweeted the phrase “Doderick Macht Frei.” This company’s founder, who has a personal motto of  “privacy, pussy, pasta”, admitted to sending bricks of his own blood to his communications officer, Ebba. To appease the nationalist President-elect Jeryd Mencken, this company’s founder appointed ATN head Tom Wambsgans as CEO of the company it acquired. For 10 points, name this Norwegian company founded by Lukas Matsson that attempted to buy the central company of an HBO show about the Roy family.",GoJo ,Trash,10
