question,answer,category,difficulty
"The value “violet” is added to this theory in the Pati–Salam model. This theory cannot include the decay products of any R-parity-conserving theory’s LSP, which is a WIMP in the “minimal supersymmetric” version of this theory. Unobserved heavy neutrinos are implied by extending this theory with the type I  seesaw mechanism. This theory’s gauge interactions are explained by  grand unified theories. This theory’s failure to explain gravitation could be resolved by the discovery of the graviton. Columns represent three “generations” of this theory in its representation as a four-by-four grid next to the Higgs boson. Three of the fundamental forces are explained by, for 10 points, what theory underlying particle physics?",Standard Model  ,Science,5
"The Jominy  end-quench test measures how much this property can be increased. This property is locally increased by precipitating nitrides at a metal’s surface. The strain-induced increase in this property is balanced by a loss of cross-sectional area when a material first necks. A martensitic transformation boosts this property by hundreds of Brinell. Work increases this property by rearranging a metal’s dislocations.  Annealing decreases this property and increases ductility. Alloying iron to steel doubles this property, as estimated by the yield stress in an indentation test. Scratch tests compare this property to minerals like quartz and talc. For 10 points, name this property measured on the Mohs scale.",hardness ,Science,5
"The acronym “ESKAPE”  lists species that exhibit this trait by expressing genes like mcr1 or a metallo·enzyme named for New Delhi. BioBricks vectors are labelled A, C, K, or T based on the type of this trait they encode. In a 2016 time-lapse video, Michael Baym tracked the emergence of this trait caused by mutations to dnaQ  across a meter-wide agar plate. This trait, encoded by genes like bla  or tetM , is  spread between populations by horizontal gene transfer. This trait can be encoded by enzymes that degrade beta-lactams or pump out fluoro·quino·lones. Hospital-acquired infections are often caused by bacteria with this trait like MRSA . For 10 points, name this trait of “superbugs” that are immune to some drugs.","antibiotic resistance ",Science,5
"These objects name natural transformations from a constant diagram to a diagram of the same shape, “universal” examples of which are category theoretic limits. Vector space subsets that are closed under positive scalar multiplication are named for these objects. In the standard parameterization of these objects, replacing the equation “z equals r” with “z equals theta” instead yields a helicoid. “Excesses” and “defects” are derived from these objects in the best-known work by  Apollonius of Perga. Slicing a “double” one of these objects with a plane yields hyperbolas and parabolas as namesake “sections.” For 10 points, name these surfaces that contain a volume of one-third pi r-squared h.","cones  ",Science,5
"The 2023 discovery of these proteins’ N-terminal helix-loop-helix-loop-helix motif in Bdellovibrio  finally confirmed that bacteria make them. Post-translational “marks” on these proteins like K9me3  are detected by ChIP-seq . Unless they are amidated, these proteins provide the attractive electrostatic potential that holds together the 30-nanometer fiber. Lysines are alternately  acetylated and de-acetylated in the “code” of these proteins during genomic imprinting. The tails of these proteins are rich in basic amino acids that neutralize the negative charge of a sugar-phosphate backbone. These proteins form octamers at the core of a nucleosome. For 10 points, name these proteins that DNA wraps around in chromatin.",histones,Science,5
"A combined form of this quantity equals one-half for phase space quadratures. States with a value for this quantity below that of the ground state have elliptical phase space distributions that appear “squeezed.” A bound on a combined form of this quantity equals one-half times the norm of the expectation value of a  commutator of two operators. This quantity for an operator equals the square root of the difference between its expectation value squared and the square of its expectation value. Because the product of this quantity for x and p is bounded below by h-bar over two, one can never simultaneously know the position and momentum of a particle. For 10 points, name this quantity described in a principle derived by Heisenberg.",uncertainty  ,Science,5
"Conflict with JEDEC standards for this hardware component caused a company co-founded by Mark Horowitz to sue many of its competitors before losing market dominance in the aughts. This component can be composed of a grid of word lines and bit lines connected to sense amplifiers. A DIMM  holds two instances of this component “in-line.” In 2020, a new alignment key for this component’s 288 pins was released with the fifth generation of its “double data rate,” or  DDR5. Heat sinks lay flush with “sticks” of this component. Primary storage is typically implemented with this component, in contrast to secondary storage in the hard drive. For 10 points, name this hardware component that temporarily stores volatile data.","RAM  ",Science,5
"During hydrotreatment, this element is removed from hydrocarbons using Raney  nickel, which allows refineries to reform naphtha  fuels. Gypsum is made by scrubbing oxides of this element out of flue gas. Oxides of this element are injected into the stratosphere to form aerosols in a solar geoengineering strategy inspired by volcanic winters. This nonmetal is at the octahedral center of the most potent  greenhouse gas. On Earth, this element’s oxidation state cycles between minus-two, in minerals like galena and pyrite, up to plus-six, after it is oxidized by oceanic chemo·lithotrophs. Polluting oxides of nitrogen or this element produce acid rain. For 10 points, a gas containing what element makes bogs smell eggy?",sulfur ,Science,5
"Deformities of this structure are measured by the Cobb angle. When it’s not in the lungs, tuberculosis infects this structure in Pott’s disease and collapses its gelatinous nuclei pulposi, which are surrounded by fibrous annuli. This structure’s C-shaped bend alternates between lordotic and kyphotic. This structure bifurcates in a birth defect often caused by folate deficiency. In order, this structure’s  bones are labeled C1 to C7, then T1 to T12, L1 to L5, and S1 to S5. Floating ribs are attached to this structure but not the sternum. In a lumbar puncture, CSF is tapped from a cavity inside this structure. For 10 points, stacks of vertebrae and discs form what flexible structure which encloses a cord of nervous tissue?",spine ,Science,5
"I·COLLs are “intermittently closed” to sources of high values for this quantity. The viral shunt recycles organic matter in systems with high values for this abiotic quantity. Densities characterize the Ghyben–Herzberg relation’s description of “intrusion” by components with high values for this quantity, which may take the form of “wedges” that go against the flow. Systems characterized by intermediate values of this quantity can prevent its increase by being “bar-built.”  Estuaries feature gradients of this quantity that increase towards the mouth. Gradients of temperature and this quantity drive thermohaline circulation. For 10 points, name this quantity that is intermediate in brackish water and high in seawater.",salinity ,Science,5
"Deriving the electromagnetic wave equation involves the successive application of this statement and a similar statement that features a negative term. Taking the curl of a curl in an equation derived from the Biot–Savart law yields this statement under the magnetostatic approximation. A term equal to the change in the electric displacement field over time was  added to this statement by Maxwell. This statement equates  “J-sub-f plus d-capital D-d-t with the curl of the H-field.” This statement relates the line integral along a curve through a magnetic field to its enclosed electric current. For 10 points, identify this law in Maxwell’s equations that was devised by the namesake of the SI unit of electric current.",Ampère’s circuital law  ,Science,5
"The simultaneous cross-section for two of these particles is measured in units named for Maria Goeppert Mayer. Silicon quantum dots are sources of these particles. Marvin Minsky invented a device that fires these particles at planes through a pinhole to minimize the point spread function. Bleaching and quenching reduce these particles’ quantum efficiency so they’re harder to detect with  CCDs. In super-resolution techniques, these particles measure distances shorter than their 100-nanometer Abbé  limit. Halogens react with tungsten filaments to provide these particles, which are absorbed and then re-emitted when a molecule fluoresces. For 10 points, name these particles provided by a microscope’s light source.",photons ,Science,5
"Organisms with this trait synthesize a properly spliced transcript of the transformer gene by expressing the Sxl  protein. Wolbachia  infection drives up the number of mosquitoes that possess this trait, since only they are diploid. In mammals with this trait, dosage compensation is controlled by two long noncoding RNAs that coat DNA called Tsix  and  Xist . Only Drosophila with this trait can be heterozygous for eye color. Mary Lyon explained how calico cats with this trait form Barr bodies. Humans with this trait are represented by circles on pedigrees and can be unaffected carriers of the allele for color blindness. For 10 points, having two X and no Y chromosomes corresponds to what biological trait in humans?",female ,Science,5
