question,answer,category,difficulty
"A 2016 paper by Ueno et al. titled “Extreme-scale  on supercomputers” improves upon Beamer’s direction-optimized “hybrid” variant of this algorithm, which has been used by Riken’s Fugaku to consistently achieve top GTEPS  benchmark rankings. This algorithm forms the basis of Lee’s and Hadlock’s algorithms used in ECAD  software. It’s not related to the knapsack problem, but the zero–one variant of this algorithm may be used to solve restricted cases of the  SSSP problem in “big-O of E” time. The Edmonds–Karp algorithm specifies that this algorithm be used to locate augmenting paths. Level-order traversal of binary trees is typically implemented using this algorithm, which, unlike a related algorithm, is complete and uses a queue to store explored nodes. For 10 points, name this search algorithm contrasted with a depth-first counterpart.",breadth-first search ,Science,10
"In 2015, Strominger et al. showed that a result named for these particles was a Ward identity of certain BMS supertranslations. They’re not photons, but the change in the S matrix when a zero momentum one of these particles is added to a vertex is given by that result, which is Weinberg’s theorem on the “soft” examples of these particles. Two-loop Feynman diagrams of interactions between these particles lead to ultraviolet  divergence, but one-loop diagrams are finite due to a Gauss–Bonnet counterterm. The self-interaction of these particles reproduces an action proportional to “square root of negative det g.” These particles are coupled to the stress–energy tensor and hence are only radiated by quadrupole sources. These particles correspond to quantization of the Einstein–Hilbert action. For 10 points, name these spin-2 massless particles that mediate the weakest fundamental force.",gravitons,Science,10
"Starting at embryonic day 9.5, development of a subset of these cells is driven by Pax1 expression, and these cells also require Hoxa3 after day 11 for sustained growth. One class of these cells uses the zinc finger protein FezF2 to help carry out a “promiscuous” process with adjacent developing cells. Transgenic mice for studying these cells are frequently controlled by a Foxn1 promoter. Deficiencies in at least one class of these cells will impair formation of  Hassall’s corpuscles. A mature class of these cells presents tissue-restricted antigens to one class of developing lymphocytes via the protein AIRE. That class of these cells is named for their location in the medulla of a naturally involuting organ, as opposed to their cortical counterparts that regulate positive selection. For 10 points, name these stromal cells from a namesake organ that mediate multiple key steps in T-cell development.","thymic epithelial cells  ",Science,10
"Note to moderator: Read answerline carefully. Paul Dirac created a method for this process that tangentially injects a mixture of hydrogen and another reactant at the speed of sound into a vortex tube. Lasers with wavelengths around 16 micrometers are used to excite molecules for this process and facilitate the dissociation of a fluoride ion in SILEX procedures. SWUs are units that quantify the effectiveness of this process. Ernest Lawrence invented the  calutron at the Y-12 plant to perform an electromagnetic form of this process. A compound commonly called “hex” is forced through a semi-permeable membrane in one technique for this process. “Zippe-type” devices used for this process have rendered gaseous diffusion obsolete. For 10 points, name this process that may use gas centrifugation to increase the relative amount of an element’s 235 isotope in natural samples.",uranium enrichment ,Science,10
"A class of these materials is commonly formed via the addition of octenyl-succinic-acid-derivatized starch granules. “Double” examples of these materials, known as O/W/O  or W/O/W , are commonly used as vaccine adjuvants due to their increased activity. Types of these materials stabilized by solid particles are named for either Ramsden or Pickering. The presence of essential oils can cause the spontaneous formation of these materials in the  ouzo  effect. Low-pressure methods of forming these materials, such as by forcing a phase through a membrane, are replacing high-pressure methods such as homogenizers. These materials can be stabilized by amphiphilic surfactants, such as egg yolk lecithin in mayonnaise. These materials can be destroyed by buoyant forces in creaming and by droplet flocculation. For 10 points, name these colloids that are mixtures of two immiscible liquids.",emulsions ,Science,10
"The antibody BHQ880 increases this quantity by neutralizing the Wnt  inhibitor Dickkopf-1. Mutations in the gene for TGF-beta-1 lead to excessively high values of this quantity in Camurati–Engelmann disease. Kullenberg et al. improved upon the most common technique for calculating this quantity by adding laser measurements of local thickness. This quantity is commonly reduced in implant recipients via the process of  stress shielding, which is explained by Wolff’s law. It’s not body fat, but this quantity is computed using high and low energy X-ray beams in a DEXA scan, and quantitative CT scans were developed specifically to measure this quantity. When an individual’s T-value, which is zero minus this quantity, is below negative 2.5, it is commonly treated with bisphosphonates. For 10 points, name this quantity that is extremely low in postmenopausal women with osteoporosis.",bone density ,Science,10
"By a theorem of Landau, a nonnegativity condition ensures that these objects exhibit a singularity. A modified operation on arithmetic functions is computed as the inverse Mellin transform of one of these objects in Perron’s formula, which can be used to prove Harald Bohr’s theorem on abscissae of convergence. One of these objects named for Hasse and Weil is associated to an elliptic curve in the analytic statement of the Birch and Swinnerton-Dyer conjecture. Two of these objects may be multiplied using their namesake mathematician’s form of  convolution. When the coefficients of these objects are generated by a character, they are called L-functions and can be used to prove that there are infinitely many primes in arithmetic progressions. For 10 points, the Riemann zeta function is an example of what infinite sums of the form “a-sub-n times n to the negative s,” named for the French-German formulator of the pigeonhole principle?",Dirichlet series  ,Science,10
"Two answers required. An ion beam of these two nuclear species, typically accelerated into a titanium target, serves as part of “compact neutron generators.” Research at the NBTF in Italy uses negative ions of one of these nuclear species in neutral-beam injectors that target a mixture of these two species. One of these two species is used in radioluminescent powerless lighting systems, and is produced from the other of these species through neutron  capture as a byproduct of CANDU  reactors. The 1991 PTE experiment at JET  used an 11/89 mixture of these two species, although an optimal 50/50 mix is assumed in Lawson’s criterion. The rarer of these two species is produced from lithium “breeding blankets” using neutrons produced from the fusion of these two species in designs like ITER . For 10 points, what two species used as fuel in modern tokamaks are the isotopes of hydrogen with one and two neutrons?",deuterium AND tritium ,Science,10
"John Toner and Yuhai Tu showed that the formation of these structures is an example of spontaneous symmetry breaking in the Vicsek  model. These structures inspired the development of a metaheuristic algorithm that started out with just two rules: velocity matching and “craziness.” Craig Reynolds proposed that each member of these structures obeys rules for separation, alignment, and cohesion in his boids model. Stochastic diffusion search belongs to a field of artificial intelligence that uses the dynamics of these self-organized structures to solve optimization problems. The  lateral line organ enables the formation of these structures, especially in the absence of visual information. A murmuration is one of these structures. The mixed-species type of these structures enables some species to forage while others act as sentinels. For 10 points, name these emergent structures that are formed by the collective motion of animals.","flocks ",Science,10
"Experiments measuring this quantity’s “time-dependent” form use a probe like coumarin to excite a solvent and track its reorganization, taking advantage of this quantity’s low value in ionic liquids. This quantity is plotted on the y-axis against a solvent’s orientational polarizability on a Lippert–Mataga plot. This quantity is low in wild-type proteins with a rigid chromophore environment that reduces relaxation. A negative version of this quantity appears in  photon upconversion. For a polarizable molecule, the causes of this quantity are represented by an up-arrow and a shorter down-arrow between electronic states on a Jablonski diagram. In contrast to Rayleigh scattering, changes in the vibrational energy level lead to this quantity and its “anti-” version. For 10 points, what quantity, which is the difference in maxima between the emission and absorption spectra of an energy transition, is vital to Raman spectroscopy?",Stokes shift ,Science,10
"Parisi and Sourlas used the BRST formalism and this property to carry out a dimensional reduction in disordered systems in a paper titled for “Random Magnetic Fields, , and Negative Dimensions.” The energy spectra of two Hamiltonians are equal in systems with a shape-invariant potential and this property. Some models with this property construct an operator Q equal to “a-dagger b” called this property’s namesake charge, so that “Q Q-dagger” and “Q-dagger Q” are  partner Hamiltonians. Lie  algebras named for this property are Z2 graded. Models with this property are characterized by their number of generators “N,” such as the N-equals-one Wess–Zumino model and an N-equals-4 extension of the Yang–Mills model. Pierre Fayet  proposed a theory with this property to solve the hierarchy problem. For 10 points, name this property of extensions of the Standard Model that propose partner bosons with names preceded by an “s.”",supersymmetry ,Science,10
"The J-domain of a protein from this virus is critical for fibroblast cell lines to overcome p130/p107 repression and mediates binding with Hsc70. Carboxy-terminal residues on a protein from this virus redundantly control its binding to the innate inhibitor of WAF-1. Since that protein from this virus binds importin-alpha, it is used as a model protein to study nuclear localization signals. Residues 106 to 114 on a protein from this virus contain a key L-X-C-X-E motif that regulates its binding to  retinoblastoma protein. The malignant transforming activity of that helicase from this virus has led to its usage in lentiviral cell immortalization kits since it inactivates p53. In the 1950s, this virus was identified as a contaminant in multiple polio vaccines. For 10 points, name this polyomavirus whose namesake large T antigen was first collected from a culture of infected monkey kidney cells.",SV40  ,Science,10
"To study the total energy of these processes, Graeme Bird invented the DSMC method to simulate them on the VSS and VHS models. In addition to electron transfers, these processes occur at a faster rate than expected in harpoon reactions. Yuan Lee and Dudley Herschbach developed a technique in which these processes are generated by collimated beams. To calculate the rate of these processes, the square root of  “eight times kB times temperature, divided by the product of pi and the reduced mass” is multiplied by  sigma. These processes occur between A, A-star, and M in the Lindemann mechanism. The product of the frequency of these events and the steric factor is the pre-exponential factor. These events are “effective” if they occur with the proper orientation and if their energy exceeds the activation energy. For 10 points, a theory of reaction kinetics is named for what events in which reactants hit each other?","reactant collisions  ",Science,10
"These devices may use a series of cells without dipoles in the “missing bend” method for suppressing dispersion. The k-modulation technique uses tune shifts to measure these devices’ beta function, which can be calculated analytically for a symmetric and periodic FODO  lattice. Solving the modified Hill’s equation along the s-coordinate yields these devices’ Twiss parameters, which characterize an ellipse in phase space. Courant and Snyder suggested an  alternating gradient design for these devices, in which quadrupoles with oppositely-directed B-fields are used for focusing. Tailored high-intensity light is generated in examples of these devices that use a storage ring to generate synchrotron radiation. For 10 points, name these devices in high-energy physics that use electromagnets to propel particles to very high speeds.",particle accelerators ,Science,10
"This property is progressively reduced in experiments whose results are displayed on vector component plots named for J. D. A. Zijderveld . The high strength of one form of this phenomenon is indicated by Koenigsberger ratios above one. Whether this property’s namesake “fabric” appears linear or planar is used to classify grains as MD or SD. Materials with one form of this property obey the laws of “reciprocity,” “independence,” and “additivity” according to the Thellier  laws. Rocks with this property are used to identify APWP tracks, which have led to the discovery of events like the  Brunhes–Matuyama  event. Layers of chert alternate with layers of a mineral with this property in banded iron formations. The Vine–Matthews–Morley hypothesis predicted the presence of symmetrical “stripes” of rock with this property near mid-ocean ridges due to seafloor spreading. For 10 points, give this property that lends its name to the iron ore with chemical formula Fe3O4 .",magnetism ,Science,10
"Partial degradation of these structures requires YpeB, which regulates the hydrolase CwlJ and the transglycosylase SleB. These structures can be detected by adding potassium permanganate and nitrous acid in the “popping test.” An aqueous solution of carbol fuchsin  and 7-percent nigrosin stains these structures, which the Schaeffer–Fulton method labels using malachite green and a safranin counterstain. Alpha/beta-type SASPs and dipicolinic acid are abundant in the  cores of these structures, which are produced by many Firmicutes . Since isopropyl alcohol does not destroy these structures, bleach and peroxide products are necessary for clean room disinfection. The formation of these structures is well-studied in the megaterium and subtilis members of one genus. For 10 points, name these dormant structures produced by Clostridium and Bacillus bacteria.",bacterial endospores ,Science,10
"Roderick MacKinnon crystallized one of these proteins from S. lividans that contains a highly conserved TVGYG sequence. Tetraethylammonium is used to experimentally inhibit these proteins. One of these proteins in humans is mutated in the most common form of Romano–Ward syndrome. That one of these proteins is named for its homology to the Drosophila ether-a-go-go gene and is inhibited in most forms of drug-induced  long QT syndrome. The sulfonylurea receptor is found on an ATP-responsive one of these proteins in the islets of Langerhans that deactivates to trigger insulin exocytosis. A mutation in another of these proteins causes Drosophila to twitch under anesthesia and is called shaker. Inward-rectifying types of these proteins maintain the resting potential of neurons. For 10 points, name these proteins that conduct an ion that is exchanged for sodium across the membrane.",potassium channels ,Science,10
"The Hebei Huarong company leads this molecule’s industrial production, which is done by fermenting Pseudomonas denitrificans . A synthesis of this molecule attached elements of the “A/D” approach from a camphor precursor to pentacyclenone. To synthesize this molecule, three amidine bridges were created through sulfide contractions done by a team from Harvard and ETH Zurich. This molecule’s central ring is attached to a dimethylbenzimidazole  ligand and an  adenosyl group that is replaced with a methyl by methionine synthase. This cofactor for methylmalonyl-CoA mutase contains a rare example of a biological carbon–metal bond. The total synthesis of this molecule inspired the development of the Woodward–Hoffmann rules. Haptocorrin protects this molecule through the stomach so that it can be absorbed by intrinsic factor. For 10 points, name this vitamin that is deficient in pernicious anemia and whose central atom is cobalt.",vitamin B12 ,Science,10
"An object named for this mathematician transforms with conformal metric changes by adding two derivative terms and subtracting an inner product times the gradient. In orbital mechanics, this mathematician names the 2D case of a regularization scheme accomplished with the Kustaanheimo–Stiefel transformation. Parallelograms in curved spaces are named for this formulator of the notion of parallel transport. The fundamental theorem of Riemannian geometry asserts the existence of a natural  connection named for this mathematician, which is torsion-free and compatible with the metric. The Leibniz formula for the determinant is most compactly written as a sum with coefficients given by a pseudo-tensor named for this mathematician, which takes the value plus one, minus one, or zero depending on the parity of a permutation. For 10 points, name this Italian differential geometer and namesake of a “symbol” denoted epsilon.",Tullio Levi-Civita ,Science,10
"The first model of these devices’ behavior was proposed by Meyer, which was the progenitor for the BSIM series of models of these devices. As the resistance of early examples of these devices increased with temperature, they were not susceptible to secondary breakdown. Hitachi used a “vertical groove” geometry to manufacture the first “power” examples of these devices in 1969. CCDs have mostly been replaced in commercial active  pixel sensors by ones containing a photodiode and these devices. The circuit symbol for these devices may include a fourth terminal representing the substrate, which can affect the behavior of these devices via the “body effect” or “back-gating.” A “complementary” device made of an n- and p-type pair of these devices is widely used in logic circuits. For 10 points, what most common type of field-effect transistor is named for its three component layers?",MOSFET  ,Science,10
"Users are given complete control over algorithms for this task through its namesake “activations.” Shortly after landing, the Mars Pathfinder needed to be debugged from Earth due to an error in this task, during which a watchdog would periodically trigger system resets. The degree of flexibility allowed by algorithms for this task differentiates hard, firm, and soft real-time systems. In 2023, the EEVDF algorithm replaced the WFQ algorithm used for this task by a namesake  “Completely Fair” process in the Linux kernel. Operating systems may leverage run queues and multilevel feedback queues to achieve this task. Basic algorithms for this task include shortest job first, first-in–first-out, and round-robin. For 10 points, name this task during which the operating system allocates resources to jobs.",scheduling ,Science,10
"A namesake polyculture method grows the L and S types of an organism in this phylum and is used to feed laboratory stocks of newly hatched zebrafish. Three strains of an organism in this phylum abbreviated MA, MM, and CR were used in a 2022 study that challenged an earlier finding that organisms in this phylum have a long-term preference for asexual reproduction, which is called the Meselson effect. Organisms in this phylum uniquely do not undergo cellular growth or repair until the end of embryonic development. Chitinous  trophi are contained in the pharyngeal mastax of organisms in this phylum. This phylum contains an exclusively female class that can reproduce by apomixis and survive extreme desiccation called Bdelloidea . For 10 points, name this phylum discovered by Antonie van Leeuwenhoek whose members are known as wheel animals.",rotifers  ,Science,10
"The renormalization group for the “strong” type of this phenomenon was described by Daniel Fisher. The presence of a small amount of this phenomenon destabilizes a fixed point when “the dimension times nu is greater than 2” per the Harris criterion. The free energy is singular in a region of the phase diagram in Griffiths phases caused by this phenomenon. The thermodynamics of systems with this property can be treated through iteratively adding spins and averaging in the cavity method. That method is an alternative to one introduced by Sam Edwards which averages  “log Z” over this phenomenon by constructing copies of a system called replicas. Depending on whether this phenomenon is thermally distributed, this phenomenon may be termed quenched or annealed. For 10 points, paramagnetic phases and glassy systems are associated with high amounts of what phenomenon that is said to be measured by entropy?",disorder ,Science,10
