question,answer,category,difficulty
"An equation used to model these substances includes the density divided by the Reimann zeta function of 3/2. Work on these substances won the 2001 Nobel Prize in Physics for a 1995 experiment in Boulder, Colorado. That experiment demonstrating these substances was performed by   Cornell and Weimann using a laser-cooler and rubidium atoms, while Wolfgang Ketterle later produced these substances using sodium, for which he also won the Nobel. These substances were proposed based on research on a type of gas named for one of this substance’s namesakes by the other. For 10 points, name this doubly eponymous state of matter occurring when bosons are supercooled.","Bose-Einstein Condensate ",Science,7
"In 1983, a newspaper in Durand, Michigan warned that this compound had been found in pipes and could be fatal if inhaled in large doses. Operation Popeye was an attempt to use this compound in order to gain an advantage for US forces in the Vietnam War. The first description of the structure of this compound was made in 1781, while William Nicholson demonstrated this experimentally in 1800. Until 2019, this compound’s triple point was used to define the Kelvin. This compound was criticised by Nathan Zohner due to its contribution to the greenhouse effect and likelihood to cause burns. For 10 points, name this compound, which 84% of a science class voted to ban when it was described as Dihydrogen Monoxide.","Water ",Science,7
"This phenomenon was first studied by J. Tuzo Wilson, although he did not describe the mechanism by which these phenomena occur. There have only been two of these phenomena observed in the continental United States, one of which spans five North-western states. Courtillot et al proposed that these phenomena can be divided into  primary and secondary types to explain their different surface profiles. These phenomena are the most common explanation for intra-plate volcanism. For 10 points, name these phenomena which created the Galapagos and Hawaiian Islands.",Hotspots ,Science,7
"This compound was first described by Hugo Weidel in 1873. A factory producing this compound was found to produce 1% of Switzerland’s total greenhouse gas emissions as the production of this non-ammonia compound releases nitrous oxide. Hereditary deficiency in this compound is known as Hartnup disease. This compound has the formula   C6H5NO2 and is sometimes known as nicotinic acid. This compound is synthesised from tryptophan and is used to treat pellagra, which is caused by a deficiency of this compound. For 10 points, name this organic compound, also known as niacin.","Vitamin B3 ",Science,7
"The rate at which this technique can be performed is related to a constant symbolized uppercase B with units of minutes per square inch by Chvorinov’s rule. A process important in this technique may be promoted by the placement of chromite or zircon chills. When performing this technique, an alpha to beta inversion that occurs at 573 degrees Celsius causes a defect called “finning” or “veining.” A mixture of sand, clay, and sludge called  green sand is used to create the cope and drag used in this technique. A form of this technique is performed by a device consisting of a unit that injects an elastomer into a clamping unit. In this technique, a liquid is poured through a sprue by a crucible into a 3D cavity that is then cooled. Metal ingots are produced via, for 10 points, what manufacturing process in which molten metal is shaped by a negative impression?",molding ,Science,9
"This scientist names the electronic surface states calculated from the nearly free electron approximation. The derivation of an equation developed by this physicist begins by solving for the injected electron concentration at the depletion region boundary. This physicist and J.R. Haynes authored a short paper demonstrating that the diffusion of minority carriers can induce a  current. The phenomenon of carrier recombination via a trap state is named for Read , Hall, and this physicist. Stanley Morgan and this physicist managed a group at Bell Labs, where he suggested Gerald Pearson apply a voltage on a drop of glycol borate across a p-n junction. This physicist names the equation relating forward and reverse current in a diode. For 10 points, what physicist shared a Nobel Prize with Bardeen and Brattain for inventing the transistor?",William Shockley ,Science,9
"This property is maintained at a wide range of frequencies in an insect protein containing many dityrosine and trityrosine crosslinks. Both a “series” and a “parallel” component with this property are described in Hill’s three element model. Worm-like chains such as DNA inherently have an entropic form of this property, while electrostatic interactions within P·E·V·K regions cause a common example of this property's enthalpic form. This property is conferred by the I-band of the giant protein  titin . Deficiencies in alpha-1 antitrypsin lead to breakdown of tissue with this property in the lungs, which may cause COPD. Fibrils of collagen, fibronectin and a protein named for this property are a primary component of the extracellular matrix. For 10 points, name this property of proteins that return to their original length after being stretched.",elasticity ,Science,9
"In one framework, lines along which this quantity is constant are specified by an equation containing the inverse of the Gudermannian. The “rectifying” and “authalic” forms of this quantity are two of the six“auxiliary” types of this quantity. W·G·S84 defines two radii, a and b, that appear in the function relating this quantity to geocentric radius. An observer's value of this quantity is one of the two quantities that determine whether an object is  circumpolar. This quantity can be determined by the positions of the stars, unlike a different quantity that requires a chronometer to estimate using dead reckoning. This geodetic quantity is analogous to the declination of the celestial sphere. The angle of the gnomon of a sundial equals this quantity. For 10 points, name this coordinate that indicates how far north or south of the equator a point on Earth is.",latitude  ,Science,9
"A constant that includes pi and the density of this element is multiplied by the concentration of the depolarizer in the Ilkovic  equation. This is the lighter of two elements that classically acts as the working electrode in anodic  stripping voltammetry. This element’s large voltage window makes it useful in devices that dispense this element through a capillary. An apparatus with a cathode of this  metal and a graphite anode is used to electrolyze alkali chloride solutions via the Castner-Kellner process. While it has largely been phased out in favor of an analogous silver-based device, a “saturated” reference electrode common in voltammetry experiments is based on a reaction between this element and its chloride, calomel. Polarography experiments typically center on devices made from, for 10 points, what toxic metal that is a liquid at room temperature?",mercury ,Science,9
"Description acceptable. A proposal for demonstrating this result involves inputting n photons into an m-mode random interferometer then sampling from its output distribution. Many experimental procedures for demonstrating this result calculate the cross-entropy benchmarking fidelity. Demonstrating this result, which is equivalent to showing that BQP is not contained in BPP, would collapse the polynomial hierarchy. John Preskill’s original term for this result conveyed the  superpolynomial improvement it requires, but has been critiqued as colonialist. Google claimed to have demonstrated this result with its Sycamore processor, which performed a task in 200 seconds that would have taken 10,000 years for IBM's Summit to achieve. For 10 points, give the term for this result concerning the relative computational speed of systems of qubits versus ordinary bits.","quantum advantage ",Science,9
